Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
50000.0,0.0867,25097.2207,0.3,0.0,0.7,0.0,-0.94
50000.0,0.0857,24478.9902,0.3,0.0,0.7,0.0,-0.25
50000.0,0.1175,51839.5703,0.3,0.0,0.7,0.0,-2.92
50000.0,0.1319,66489.2,0.3,0.0,0.7,0.0,-0.21
50000.0,0.1493,90219.1406,0.3,0.0,0.7,0.0,-1.28
50000.0,0.1654,115888.438,0.3,0.0,0.7,0.0,-2.13
50000.0,0.1859,152731.375,0.3,0.0,0.7,0.0,-1.64
50000.0,0.2082,200549.25,0.3,0.0,0.7,0.0,-3.01
50000.0,0.233,255342.188,0.3,0.0,0.7,0.0,-0.74
50000.0,0.2618,336139.531,0.3,0.0,0.7,0.0,-1.84
50000.0,0.2935,440237.875,0.3,0.0,0.7,0.0,-8.23
60000.0,0.072,20998.9609,0.3,0.0,0.7,0.0,-2.11
60000.0,0.0713,20183.6406,0.3,0.0,0.7,0.0,1.75
60000.0,0.0929,38597.25,0.3,0.0,0.7,0.0,-3.2
60000.0,0.1046,50225.5703,0.3,0.0,0.7,0.0,-2.85
60000.0,0.1172,65640.7578,0.3,0.0,0.7,0.0,-2.73
60000.0,0.1318,85518.25,0.3,0.0,0.7,0.0,-1.42
60000.0,0.1474,112216.562,0.3,0.0,0.7,0.0,-2.94
60000.0,0.1664,149259.656,0.3,0.0,0.7,0.0,-2.23
60000.0,0.1853,190444.375,0.3,0.0,0.7,0.0,-1.3
60000.0,0.2081,252670.5,0.3,0.0,0.7,0.0,-3.93
60000.0,0.2334,319397.5,0.3,0.0,0.7,0.0,-0.27
60000.0,0.262,422372.625,0.3,0.0,0.7,0.0,-1.71
60000.0,0.2924,552137.062,0.3,0.0,0.7,0.0,-6.57
70000.0,0.0616,17537.75,0.3,0.0,0.7,0.0,-2.07
70000.0,0.0613,17356.7793,0.3,0.0,0.7,0.0,-1.11
70000.0,0.0841,37063.8,0.3,0.0,0.7,0.0,-1.7
70000.0,0.0941,46814.1289,0.3,0.0,0.7,0.0,1.92
70000.0,0.1046,61107.6914,0.3,0.0,0.7,0.0,-0.8
70000.0,0.1179,80431.4531,0.3,0.0,0.7,0.0,0.15
70000.0,0.1326,105141.156,0.3,0.0,0.7,0.0,0.7
70000.0,0.1477,136869.625,0.3,0.0,0.7,0.0,-0.53
70000.0,0.1652,177159.469,0.3,0.0,0.7,0.0,0.14
70000.0,0.1859,233512.734,0.3,0.0,0.7,0.0,-0.2
70000.0,0.2087,304453.5,0.3,0.0,0.7,0.0,0.24
70000.0,0.2341,393703.125,0.3,0.0,0.7,0.0,0.71
70000.0,0.2612,510508.5,0.3,0.0,0.7,0.0,0.02
70000.0,0.2935,670928.938,0.3,0.0,0.7,0.0,0.17
80000.0,0.054,15052.9404,0.3,0.0,0.7,0.0,-0.15
80000.0,0.0587,18574.1,0.3,0.0,0.7,0.0,-1.8
80000.0,0.075,32893.7812,0.3,0.0,0.7,0.0,1.1
80000.0,0.0841,43338.8398,0.3,0.0,0.7,0.0,-0.54
