Frequency,Flux_Density,Power_Loss,Duty_1,Duty_2,Duty_3,Duty_4,Outlier_Factor
50000.0,0.0716,26409.4492,0.4,0.0,0.6,0.0,-14.96
50000.0,0.0715,26146.8496,0.4,0.0,0.6,0.0,0.71
50000.0,0.0951,51629.0508,0.4,0.0,0.6,0.0,-6.48
50000.0,0.1046,64933.0781,0.4,0.0,0.6,0.0,-0.98
50000.0,0.1187,86895.7,0.4,0.0,0.6,0.0,-0.28
50000.0,0.133,113388.453,0.4,0.0,0.6,0.0,-0.22
50000.0,0.1492,149171.234,0.4,0.0,0.6,0.0,-1.01
50000.0,0.1655,189035.406,0.4,0.0,0.6,0.0,0.03
50000.0,0.1865,250816.125,0.4,0.0,0.6,0.0,-1.63
50000.0,0.2082,317060.031,0.4,0.0,0.6,0.0,0.73
50000.0,0.2341,417930.094,0.4,0.0,0.6,0.0,-0.83
50000.0,0.2626,544117.5,0.4,0.0,0.6,0.0,-0.36
50000.0,0.2933,698471.562,0.4,0.0,0.6,0.0,0.05
60000.0,0.0596,21600.0,0.4,0.0,0.6,0.0,0.75
60000.0,0.0596,21771.0098,0.4,0.0,0.6,0.0,-1.02
60000.0,0.0849,49855.1094,0.4,0.0,0.6,0.0,-0.9
60000.0,0.0951,63998.3398,0.4,0.0,0.6,0.0,0.67
60000.0,0.1056,82441.9688,0.4,0.0,0.6,0.0,-0.74
60000.0,0.1182,106657.383,0.4,0.0,0.6,0.0,0.27
60000.0,0.1323,139376.656,0.4,0.0,0.6,0.0,-0.49
60000.0,0.1478,179659.656,0.4,0.0,0.6,0.0,0.21
60000.0,0.1663,236934.328,0.4,0.0,0.6,0.0,0.0
60000.0,0.1874,313657.75,0.4,0.0,0.6,0.0,-1.59
60000.0,0.2084,390137.531,0.4,0.0,0.6,0.0,1.06
60000.0,0.235,514119.812,0.4,0.0,0.6,0.0,0.2
60000.0,0.2619,661998.312,0.4,0.0,0.6,0.0,-0.09
60000.0,0.2944,868551.875,0.4,0.0,0.6,0.0,-0.27
70000.0,0.051,17627.4902,0.4,0.0,0.6,0.0,-0.75
70000.0,0.0532,19296.5,0.4,0.0,0.6,0.0,0.58
70000.0,0.0671,34147.3,0.4,0.0,0.6,0.0,-0.25
70000.0,0.0747,44211.1914,0.4,0.0,0.6,0.0,-0.87
70000.0,0.0848,59110.1211,0.4,0.0,0.6,0.0,-0.42
70000.0,0.0949,75810.4531,0.4,0.0,0.6,0.0,0.61
70000.0,0.1059,98020.7422,0.4,0.0,0.6,0.0,0.16
70000.0,0.1181,126656.344,0.4,0.0,0.6,0.0,0.28
70000.0,0.1326,167097.156,0.4,0.0,0.6,0.0,-0.36
70000.0,0.1484,216600.844,0.4,0.0,0.6,0.0,0.18
70000.0,0.167,285644.094,0.4,0.0,0.6,0.0,-0.05
70000.0,0.1866,369159.719,0.4,0.0,0.6,0.0,-0.75
70000.0,0.2094,471410.656,0.4,0.0,0.6,0.0,0.9
70000.0,0.2343,611375.312,0.4,0.0,0.6,0.0,0.0
70000.0,0.2621,789821.938,0.4,0.0,0.6,0.0,0.28
70000.0,0.2951,1037234.88,0.4,0.0,0.6,0.0,0.3
80000.0,0.0447,14607.5801,0.4,0.0,0.6,0.0,-0.59
80000.0,0.0533,22437.3594,0.4,0.0,0.6,0.0,0.53
80000.0,0.0594,29684.5703,0.4,0.0,0.6,0.0,-1.77
80000.0,0.0669,38801.3594,0.4,0.0,0.6,0.0,0.41
80000.0,0.0753,51646.5781,0.4,0.0,0.6,0.0,-0.13
80000.0,0.0846,68069.0469,0.4,0.0,0.6,0.0,-0.66
80000.0,0.095,88332.0703,0.4,0.0,0.6,0.0,0.46
80000.0,0.1056,113477.5,0.4,0.0,0.6,0.0,0.02
80000.0,0.1184,148985.109,0.4,0.0,0.6,0.0,-0.47
80000.0,0.1329,194925.453,0.4,0.0,0.6,0.0,0.24
80000.0,0.1488,254770.312,0.4,0.0,0.6,0.0,-0.13
80000.0,0.1673,335041.781,0.4,0.0,0.6,0.0,-0.35
80000.0,0.1875,435084.688,0.4,0.0,0.6,0.0,-0.58
80000.0,0.2099,554689.75,0.4,0.0,0.6,0.0,0.68
80000.0,0.2352,724418.125,0.4,0.0,0.6,0.0,-0.42
80000.0,0.2638,940942.312,0.4,0.0,0.6,0.0,0.07
80000.0,0.2958,1223935.62,0.4,0.0,0.6,0.0,0.63
90000.0,0.0397,12197.3301,0.4,0.0,0.6,0.0,-0.8
90000.0,0.0478,19519.6191,0.4,0.0,0.6,0.0,-0.38
90000.0,0.054,26601.5391,0.4,0.0,0.6,0.0,-1.26
90000.0,0.0594,33048.8711,0.4,0.0,0.6,0.0,0.58
90000.0,0.0671,44137.0312,0.4,0.0,0.6,0.0,0.72
90000.0,0.0751,58222.9492,0.4,0.0,0.6,0.0,-0.29
90000.0,0.0845,76414.9,0.4,0.0,0.6,0.0,0.83
90000.0,0.0947,100902.523,0.4,0.0,0.6,0.0,-0.33
90000.0,0.1058,130130.656,0.4,0.0,0.6,0.0,0.17
90000.0,0.1183,168740.156,0.4,0.0,0.6,0.0,0.85
90000.0,0.1321,220362.234,0.4,0.0,0.6,0.0,-0.03
90000.0,0.1487,291410.156,0.4,0.0,0.6,0.0,-0.21
90000.0,0.1674,381783.875,0.4,0.0,0.6,0.0,0.54
90000.0,0.1864,491559.969,0.4,0.0,0.6,0.0,-0.24
90000.0,0.2098,638007.062,0.4,0.0,0.6,0.0,0.42
90000.0,0.2359,832267.938,0.4,0.0,0.6,0.0,0.77
90000.0,0.2635,1079880.62,0.4,0.0,0.6,0.0,0.48
90000.0,0.2934,1400097.88,0.4,0.0,0.6,0.0,-0.66
100000.0,0.0358,10408.5303,0.4,0.0,0.6,0.0,1.47
100000.0,0.043,16669.8594,0.4,0.0,0.6,0.0,-0.24
100000.0,0.0476,21626.0801,0.4,0.0,0.6,0.0,-0.71
100000.0,0.0536,28655.1895,0.4,0.0,0.6,0.0,0.67
100000.0,0.0603,38399.6914,0.4,0.0,0.6,0.0,0.2
100000.0,0.0676,50909.2383,0.4,0.0,0.6,0.0,-0.36
100000.0,0.0754,65966.6172,0.4,0.0,0.6,0.0,-0.01
100000.0,0.0841,85702.1797,0.4,0.0,0.6,0.0,-0.01
100000.0,0.0947,113704.727,0.4,0.0,0.6,0.0,-0.16
100000.0,0.1059,147563.469,0.4,0.0,0.6,0.0,0.27
100000.0,0.1182,192248.562,0.4,0.0,0.6,0.0,-0.5
100000.0,0.1333,255042.391,0.4,0.0,0.6,0.0,-0.22
100000.0,0.1496,332942.188,0.4,0.0,0.6,0.0,0.15
100000.0,0.1669,431065.312,0.4,0.0,0.6,0.0,0.14
100000.0,0.187,564419.75,0.4,0.0,0.6,0.0,-0.87
100000.0,0.2103,726340.688,0.4,0.0,0.6,0.0,0.78
100000.0,0.2355,948596.125,0.4,0.0,0.6,0.0,0.05
100000.0,0.2622,1226438.75,0.4,0.0,0.6,0.0,-0.52
100000.0,0.2946,1599175.5,0.4,0.0,0.6,0.0,0.5
110000.0,0.0325,9209.46,0.4,0.0,0.6,0.0,-2.64
110000.0,0.0379,13309.3398,0.4,0.0,0.6,0.0,0.7
110000.0,0.0422,17535.7598,0.4,0.0,0.6,0.0,-0.19
110000.0,0.0475,23741.8398,0.4,0.0,0.6,0.0,-0.49
110000.0,0.0537,32035.0195,0.4,0.0,0.6,0.0,0.28
110000.0,0.0602,42599.3789,0.4,0.0,0.6,0.0,-0.23
110000.0,0.0668,54560.0586,0.4,0.0,0.6,0.0,0.39
110000.0,0.0751,72663.8,0.4,0.0,0.6,0.0,0.4
110000.0,0.0844,97359.9922,0.4,0.0,0.6,0.0,-0.63
110000.0,0.0946,126666.977,0.4,0.0,0.6,0.0,0.11
110000.0,0.1058,164722.984,0.4,0.0,0.6,0.0,0.42
110000.0,0.1189,218140.859,0.4,0.0,0.6,0.0,-0.04
110000.0,0.1335,284700.562,0.4,0.0,0.6,0.0,0.71
110000.0,0.1492,371458.438,0.4,0.0,0.6,0.0,0.2
110000.0,0.167,486772.219,0.4,0.0,0.6,0.0,-0.46
110000.0,0.1875,634824.0,0.4,0.0,0.6,0.0,-0.07
110000.0,0.2104,818788.375,0.4,0.0,0.6,0.0,0.74
110000.0,0.2336,1050447.75,0.4,0.0,0.6,0.0,-0.06
110000.0,0.2626,1385385.38,0.4,0.0,0.6,0.0,-0.32
110000.0,0.2934,1788221.0,0.4,0.0,0.6,0.0,0.14
120000.0,0.0298,8001.39,0.4,0.0,0.6,0.0,-0.47
120000.0,0.0338,11009.8398,0.4,0.0,0.6,0.0,-0.14
120000.0,0.0378,14594.1504,0.4,0.0,0.6,0.0,-1.52
120000.0,0.0425,19236.9102,0.4,0.0,0.6,0.0,1.23
120000.0,0.0475,25874.0391,0.4,0.0,0.6,0.0,-0.19
120000.0,0.0533,34706.2109,0.4,0.0,0.6,0.0,-0.63
