,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,error for iGSE,error for SE,loss error percent by iGSE
0,50000,0.0369,0.1,3.722765702,0.126799053,5.00744,0.256553109,0.974677869,1.345085993
1,50000,0.0417,0.1,5.05294218,0.172105454,5.53823,0.087625075,0.968924105,1.096040644
2,50000,0.0478,0.1,7.106687315,0.242056925,8.15669,0.128729017,0.970324123,1.147748541
3,50000,0.053,0.1,9.19827551,0.313297348,11.74871,0.217082087,0.973333468,1.277273114
4,50000,0.06,0.1,12.5400102,0.427118316,15.82329,0.207496658,0.973006984,1.261824332
5,50000,0.067,0.1,16.52039809,0.562692094,19.6344102,0.158599728,0.971341533,1.18849498
6,50000,0.0751,0.1,21.97071177,0.748332199,26.5592,0.17276455,0.971823993,1.208845679
7,50000,0.0837,0.1,28.80535125,0.981123054,31.8912402,0.096762902,0.969235343,1.107129017
8,50000,0.0947,0.1,39.21371189,1.335636439,46.1444688,0.150196916,0.97105533,1.1767432
9,50000,0.1058,0.1,51.7238128,1.761736031,60.6123594,0.146645778,0.970934376,1.171846315
10,50000,0.118,0.1,67.93538904,2.313909516,76.4808516,0.11173336,0.969745244,1.125788086
11,50000,0.1324,0.1,90.57763991,3.085114634,98.8779375,0.08394489,0.968798756,1.09163738
12,50000,0.1485,0.1,120.6500379,4.109393862,131.341734,0.081403647,0.9687122,1.088617428
13,50000,0.1653,0.1,157.6920064,5.371059757,166.901469,0.055179039,0.967818979,1.058401582
14,50000,0.1847,0.1,208.0693135,7.086933207,224.525734,0.07329414,0.968435987,1.07909105
15,50000,0.2081,0.1,280.3030007,9.547244664,298.981469,0.062473666,0.968067437,1.066636705
16,50000,0.2325,0.1,369.7585865,12.59414164,372.949156,0.008554972,0.966230942,1.008628791
17,50000,0.2607,0.1,492.1799981,16.76386927,482.210875,0.020673783,0.965235398,0.979744965
18,50000,0.2931,0.1,659.5069154,22.46309838,635.090875,0.038444955,0.964630104,0.962978341
19,60000,0.0307,0.1,3.156737731,0.107519889,4.14148,0.23777545,0.974038293,1.311949345
20,60000,0.0378,0.1,5.308348486,0.180804706,7.00269,0.241955808,0.974180678,1.319184303
21,60000,0.0419,0.1,6.865694641,0.233848608,8.19766,0.162481166,0.971473737,1.194003
22,60000,0.0473,0.1,9.294103691,0.316561299,10.6663398,0.128651078,0.970321469,1.147645879
23,60000,0.0529,0.1,12.29154206,0.41865538,14.3014199,0.140536943,0.970726307,1.163517143
24,60000,0.0589,0.1,16.07575731,0.547547432,18.7709,0.143580899,0.970829985,1.167652611
25,60000,0.0668,0.1,22.01536906,0.749853245,25.1507793,0.124664536,0.970185685,1.142419154
26,60000,0.0749,0.1,29.30217708,0.998045162,35.6329414,0.17766606,0.971990941,1.216050988
27,60000,0.0838,0.1,38.78980702,1.321198051,43.3951,0.106124723,0.969554211,1.118724308
28,60000,0.0932,0.1,50.58994927,1.723116135,56.5513516,0.105415736,0.969530063,1.117837682
29,60000,0.1054,0.1,68.79071536,2.34304231,77.2212891,0.109174217,0.969658078,1.122553948
30,60000,0.1181,0.1,91.40376938,3.113252971,100.337992,0.089041274,0.968972341,1.097744575
31,60000,0.1325,0.1,121.8397835,4.149917127,130.613133,0.0671705,0.968227413,1.072007264
32,60000,0.1473,0.1,158.7352988,5.406594759,174.406609,0.089855025,0.969000058,1.098726057
33,60000,0.1656,0.1,212.6796486,7.243963268,221.159781,0.038343918,0.967245567,1.039872797
34,60000,0.1843,0.1,277.8464192,9.463572408,285.976906,0.028430571,0.966907914,1.029262521
35,60000,0.2072,0.1,372.2839282,12.6801559,378.688906,0.016913561,0.966515639,1.017204551
36,60000,0.2323,0.1,495.3743866,16.87267157,480.371031,0.031232848,0.964875751,0.969713098
37,60000,0.2609,0.1,662.0715956,22.55045252,621.681125,0.064969755,0.963726657,0.938993802
38,60000,0.2906,0.1,866.711391,29.52057482,799.424875,0.084168654,0.963072734,0.922365719
39,70000,0.0263,0.1,2.751580227,0.093720044,3.56445,0.228049144,0.973707011,1.295419252
40,70000,0.0296,0.1,3.696831717,0.12591573,3.89944,0.051958302,0.967709279,1.054805925
41,70000,0.0341,0.1,5.264725335,0.179318883,5.79686,0.091797053,0.969066204,1.101075485
42,70000,0.0377,0.1,6.764951543,0.230417253,8.42182,0.196735202,0.972640444,1.244919486
43,70000,0.042,0.1,8.860334263,0.301786919,10.37746,0.146194323,0.970919,1.171226693
44,70000,0.0472,0.1,11.86016224,0.403962392,13.3587598,0.11218089,0.969760487,1.12635557
45,70000,0.0534,0.1,16.14329925,0.54984794,18.6093906,0.132518652,0.9704532,1.152762537
46,70000,0.059,0.1,20.71053055,0.705409866,22.7211309,0.088490329,0.968953576,1.097081064
47,70000,0.0668,0.1,28.24263983,0.961956853,33.1004297,0.146759118,0.970938237,1.172001977
48,70000,0.0752,0.1,37.96786165,1.293202227,43.4588281,0.1263487,0.970243049,1.14462143
49,70000,0.0834,0.1,49.17062819,1.674773429,54.1535703,0.092015025,0.969073629,1.10133981
50,70000,0.0939,0.1,66.12442547,2.252227292,71.4857578,0.074998608,0.968494042,1.081079454
51,70000,0.1056,0.1,88.66779927,3.020064614,95.2677734,0.06927814,0.9682992,1.074434848
52,70000,0.1178,0.1,116.5155511,3.968571406,123.249797,0.054639002,0.967800585,1.057796971
53,70000,0.1309,0.1,151.6307748,5.164611516,163.698797,0.073720897,0.968450522,1.079588212
54,70000,0.1475,0.1,204.3266215,6.959455455,217.121469,0.058929444,0.967946719,1.062619581
55,70000,0.1649,0.1,269.966186,9.195168166,276.198219,0.022563625,0.966708083,1.023084495
56,70000,0.1845,0.1,357.4051958,12.17337967,355.901406,0.004225299,0.96579564,0.995792479
57,70000,0.2073,0.1,478.1642528,16.28648677,467.678625,0.022420584,0.965175901,0.978071075
58,70000,0.2323,0.1,635.4960638,21.64527811,603.416125,0.053163874,0.964128771,0.949519847
59,70000,0.2598,0.1,840.427482,28.62533321,796.614875,0.05499848,0.964066283,0.947868665
60,70000,0.289,0.1,1096.639083,37.35201412,978.186938,0.121093566,0.961815055,0.891986208
61,80000,0.023,0.1,2.442454016,0.083191068,3.05812,0.201321722,0.972796663,1.252068608
62,80000,0.0269,0.1,3.612144055,0.12303123,4.03091,0.103888686,0.969478051,1.115932792
63,80000,0.0298,0.1,4.664928451,0.158889534,5.01304,0.069441207,0.968304754,1.074623127
64,80000,0.0336,0.1,6.295912722,0.214441583,7.50725,0.16135566,0.971435401,1.192400583
65,80000,0.0374,0.1,8.228217304,0.280256735,9.86139,0.165612829,0.971580402,1.19848439
66,80000,0.042,0.1,10.99409014,0.374463592,12.7906904,0.140461555,0.970723739,1.163415093
67,80000,0.0474,0.1,14.87261615,0.50656791,16.9087793,0.12042047,0.970041131,1.136906858
68,80000,0.0533,0.1,19.93736821,0.679075614,21.0389102,0.052357369,0.967722871,1.05525012
69,80000,0.0595,0.1,26.24558153,0.89393616,29.2677793,0.103260235,0.969456645,1.115150726
70,80000,0.067,0.1,35.30676998,1.202564263,40.6607188,0.131673738,0.970424422,1.151640856
71,80000,0.0746,0.1,46.17788682,1.572839329,50.8935312,0.092657048,0.969095496,1.102119103
72,80000,0.0838,0.1,61.7456154,2.103083077,66.8620703,0.076522532,0.968545947,1.082863453
73,80000,0.0937,0.1,81.61270304,2.779764904,89.5601875,0.088739033,0.968962047,1.097380483
74,80000,0.1038,0.1,105.3955185,3.589818158,111.35443,0.053513017,0.967762233,1.056538566
75,80000,0.1173,0.1,143.0468208,4.872238232,150.100141,0.046990763,0.967540082,1.049307773
76,80000,0.1317,0.1,191.0324296,6.506649375,203.774438,0.062529965,0.968069354,1.066700761
77,80000,0.1469,0.1,250.9641957,8.547951939,260.147828,0.035301591,0.967141944,1.036593397
78,80000,0.1646,0.1,333.4593656,11.35777406,336.711719,0.009659163,0.966268551,1.009753372
79,80000,0.1854,0.1,448.900039,15.28973465,443.664438,0.011800813,0.965537615,0.988336822
80,80000,0.2047,0.1,574.9002674,19.58135838,543.68075,0.057422518,0.96398372,0.945695768
81,80000,0.2319,0.1,785.1492974,26.74253369,745.476812,0.053217598,0.964126941,0.949471412
82,80000,0.258,0.1,1024.864065,34.90732511,915.966688,0.118887923,0.961890181,0.893744565
83,80000,0.29,0.1,1372.526045,46.74884654,1225.91588,0.119592353,0.961866187,0.893182234
84,90000,0.0204,0.1,2.189441579,0.074573352,2.72733,0.197221613,0.972657012,1.245673795
85,90000,0.0239,0.1,3.251838086,0.110759049,3.67892,0.116088938,0.969893597,1.131335541
86,90000,0.0264,0.1,4.169329392,0.14200921,4.43644,0.060208322,0.967990278,1.064065605
87,90000,0.0298,0.1,5.642899922,0.192199677,6.56395,0.140319484,0.9707189,1.163222827
88,90000,0.0338,0.1,7.72956365,0.26327237,9.01531,0.142618096,0.970797192,1.166341388
89,90000,0.038,0.1,10.35692087,0.352761324,11.9177,0.130963116,0.970400218,1.150699146
90,90000,0.042,0.1,13.2989286,0.452967413,15.45821,0.139685086,0.970697292,1.162365064
91,90000,0.0473,0.1,17.89589319,0.609542068,18.6625605,0.0410805,0.967338776,1.042840405
92,90000,0.053,0.1,23.77941983,0.809937598,26.1853398,0.091880418,0.969069044,1.101176563
93,90000,0.0596,0.1,31.88126045,1.085889887,36.3333086,0.122533519,0.970113102,1.139644672
94,90000,0.0665,0.1,41.91681843,1.427705448,46.8222305,0.104766732,0.969507957,1.1170273
95,90000,0.0746,0.1,55.85877612,1.902574717,61.7337695,0.095166607,0.969180973,1.105175834
96,90000,0.084,0.1,75.13629735,2.55917565,81.8432188,0.081948408,0.968730755,1.089263401
97,90000,0.0932,0.1,97.41147274,3.317878015,102.624344,0.05079566,0.967669679,1.053513935
98,90000,0.1043,0.1,129.0307247,4.394843776,135.506688,0.047790728,0.967567329,1.050189312
99,90000,0.1172,0.1,172.6673551,5.881126784,183.644562,0.059774201,0.967975492,1.063574304
100,90000,0.1308,0.1,227.1562775,7.737043676,238.681312,0.048286288,0.967584208,1.050736148
101,90000,0.1469,0.1,303.5771835,10.33997367,309.641812,0.019585948,0.966606662,1.019977221
102,90000,0.1651,0.1,406.434921,13.84335388,409.085312,0.006478822,0.966160228,1.006521071
103,90000,0.1816,0.1,515.6303584,17.56259896,496.408875,0.038721071,0.964620699,0.962722359
104,90000,0.206,0.1,706.5100875,24.06404729,695.98125,0.015128048,0.965424288,0.9850974
105,90000,0.2308,0.1,938.5360608,31.96695496,848.898812,0.105592383,0.962343033,0.904492483
106,90000,0.2588,0.1,1249.345686,42.5532688,1118.8535,0.11663027,0.961967077,0.895551578
107,90000,0.2908,0.1,1671.732604,56.93995479,1499.14325,0.115125325,0.962018336,0.896760191
108,100000,0.0186,0.1,2.060876862,0.070194381,2.59014,0.204337657,0.972899387,1.256814537
109,100000,0.0216,0.1,2.994243857,0.101985275,3.37776,0.113541561,0.969806832,1.128084472
110,100000,0.024,0.1,3.895816837,0.132693251,4.04074,0.035865501,0.967161151,1.037199686
111,100000,0.0271,0.1,5.277140883,0.179741762,5.96028,0.114615273,0.969843403,1.129452507
112,100000,0.0301,0.1,6.859771119,0.23364685,8.08908,0.151971408,0.97111577,1.179205524
113,100000,0.0339,0.1,9.232082828,0.31444884,10.6758301,0.13523513,0.970545725,1.1563837
114,100000,0.0382,0.1,12.44129246,0.423755946,13.9519297,0.10827443,0.969627431,1.121421246
115,100000,0.0423,0.1,16.05012104,0.546674249,17.0808301,0.060343031,0.967994866,1.064218149
116,100000,0.0478,0.1,21.78219178,0.741911124,23.8079902,0.085089014,0.968837726,1.093002506
117,100000,0.0534,0.1,28.72753579,0.978472625,32.6418809,0.119917879,0.970024012,1.136257601
118,100000,0.0601,0.1,38.59570801,1.314586952,42.7772109,0.097750714,0.969268989,1.108341137
119,100000,0.067,0.1,50.63547382,1.724666722,55.0309102,0.079872137,0.968660036,1.086805475
120,100000,0.0755,0.1,68.24044979,2.32430002,74.2286797,0.080672726,0.968687305,1.087751911
121,100000,0.0832,0.1,86.97749586,2.962492129,92.0409062,0.055012609,0.96781331,1.058215177
122,100000,0.0937,0.1,117.0454814,3.986621067,122.709773,0.046160069,0.967511788,1.048393937
123,100000,0.1055,0.1,157.4142704,5.361599946,166.941766,0.057070773,0.967883412,1.06052498
124,100000,0.118,0.1,208.223833,7.09219621,218.543125,0.047218562,0.967547841,1.04955865
125,100000,0.1325,0.1,278.1470852,9.473813228,283.679438,0.019502128,0.966603807,1.019890026
126,100000,0.1487,0.1,371.0411418,12.63782604,376.580375,0.014709299,0.966440561,1.014928892
127,100000,0.1646,0.1,478.233296,16.28883841,459.19875,0.04145165,0.964527694,0.9601982
128,100000,0.1863,0.1,651.6292347,22.19478107,648.59,0.004685911,0.965779952,0.995335945
129,100000,0.2075,0.1,852.9614946,29.05224724,791.547188,0.077587676,0.963296885,0.927998735
130,100000,0.2326,0.1,1134.538361,38.64288032,1030.923,0.100507372,0.96251623,0.908671787
131,100000,0.2621,0.1,1528.864927,52.07381827,1388.10925,0.101401008,0.962485793,0.907934524
132,100000,0.2925,0.1,2011.085134,68.49845262,1789.935,0.123552047,0.961731318,0.890034425
133,110000,0.0167,0.1,1.8366717,0.062557854,2.47203,0.257018847,0.974693732,1.345929161
134,110000,0.0189,0.1,2.502062335,0.085221354,2.68538,0.068265074,0.968264695,1.073266626
135,110000,0.0211,0.1,3.294304018,0.112205458,3.82319,0.138336306,0.970651352,1.16054559
136,110000,0.0239,0.1,4.497331308,0.153181101,5.48583,0.180191273,0.972076951,1.219796725
137,110000,0.0266,0.1,5.875983272,0.200138599,6.77279,0.13241319,0.970449608,1.15262241
138,110000,0.0299,0.1,7.869787556,0.268048459,8.76926,0.102571077,0.969433172,1.114294374
139,110000,0.0338,0.1,10.69007979,0.364108864,12.2996396,0.130862356,0.970396786,1.150565743
140,110000,0.0374,0.1,13.76540783,0.468855903,14.9608096,0.079902211,0.968661061,1.086840999
141,110000,0.0422,0.1,18.61216145,0.633938483,21.7306699,0.14350724,0.970827476,1.167552192
142,110000,0.0478,0.1,25.40902599,0.865442707,28.7890898,0.117407804,0.969938518,1.133026107
143,110000,0.053,0.1,32.88722454,1.120153471,35.3948086,0.070846097,0.968352606,1.076247968
144,110000,0.0596,0.1,44.09216787,1.501798816,46.5528594,0.05285801,0.967739923,1.055807905
145,110000,0.0666,0.1,58.18949195,1.981959933,61.8895586,0.05978499,0.967975859,1.063586509
146,110000,0.0748,0.1,77.77181204,2.648942451,83.2094,0.065348241,0.968165346,1.069917208
147,110000,0.0831,0.1,101.1552724,3.445393492,110.866719,0.087595689,0.968923104,1.096005343
148,110000,0.0933,0.1,135.082649,4.600975003,145.681312,0.072752386,0.968417535,1.07846058
149,110000,0.1041,0.1,177.5974225,6.049047069,185.702297,0.043644449,0.967426105,1.045636217
150,110000,0.117,0.1,237.7842943,8.099038644,241.952266,0.017226421,0.966526296,1.017528373
151,110000,0.1311,0.1,315.9630449,10.76184161,321.920969,0.018507412,0.966569927,1.018856395
152,110000,0.1473,0.1,422.7127509,14.39778399,428.864688,0.014344704,0.966428143,1.014553469
153,110000,0.1646,0.1,557.8613193,19.00100424,563.148688,0.009388939,0.966259347,1.009477927
154,110000,0.1828,0.1,724.9535276,24.69223905,693.740438,0.044992461,0.964407093,0.956944703
155,110000,0.2059,0.1,975.9274446,33.2405221,950.354125,0.026909253,0.965023015,0.97379588
156,110000,0.2322,0.1,1317.765802,44.88368832,1213.63338,0.085802207,0.963017095,0.920978051
157,110000,0.2584,0.1,1721.196257,58.62470876,1532.24638,0.123315597,0.961739372,0.890221771
158,120000,0.0153,0.1,1.698634397,0.057856242,2.28463,0.256494751,0.974675881,1.344980418
159,120000,0.0188,0.1,2.841874667,0.096795513,3.69662,0.231223478,0.97381513,1.300768131
160,120000,0.0213,0.1,3.882055204,0.132224524,4.79789,0.190882825,0.97244111,1.235914934
161,120000,0.0237,0.1,5.068740991,0.172643569,5.70316,0.111239911,0.969728437,1.125163036
162,120000,0.0267,0.1,6.826753392,0.232522252,7.51513,0.091598762,0.96905945,1.100835136
163,120000,0.0297,0.1,8.907256183,0.303385101,9.86959,0.097504944,0.969260618,1.108039311
164,120000,0.0333,0.1,11.85424683,0.40376091,13.1148701,0.096121674,0.969213503,1.106343599
165,120000,0.0374,0.1,15.84351788,0.539637254,18.6080391,0.148565961,0.970999779,1.174489103
166,120000,0.0419,0.1,21.04354262,0.716752405,22.9683398,0.08380219,0.968793896,1.091467355
167,120000,0.047,0.1,28.03745892,0.9549683,30.2607305,0.073470519,0.968441994,1.079296472
168,120000,0.0527,0.1,37.31909132,1.271104821,41.2806094,0.095965591,0.969208187,1.106152587
169,120000,0.0591,0.1,49.69167388,1.692520477,53.97625,0.079378914,0.968643237,1.08622322
170,120000,0.0662,0.1,65.97375614,2.247095428,70.395,0.06280622,0.968078764,1.067015191
171,120000,0.0739,0.1,86.84629943,2.95802352,97.1072109,0.105665804,0.96953858,1.118150244
172,120000,0.0829,0.1,115.7275369,3.941731293,122.761961,0.057301334,0.967891265,1.060784359
173,120000,0.0924,0.1,151.7558705,5.168872331,158.593562,0.043114559,0.967408057,1.04505718
174,120000,0.1037,0.1,202.4520929,6.895608179,214.585547,0.056543669,0.967865458,1.05993247
175,120000,0.1164,0.1,270.1889086,9.202754198,280.056531,0.035234395,0.967139655,1.036521197
176,120000,0.1306,0.1,360.2077282,12.26883516,367.649188,0.020240653,0.966628962,1.020658801
177,120000,0.1462,0.1,477.5021242,16.26393437,477.790594,0.000603758,0.96596012,1.000604123
178,120000,0.1626,0.1,622.7663207,21.21169741,620.94125,0.0029392,0.965839446,0.997069413
