,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,Ratio of igse,ratio of se,Error of iGSE,Error of SE
0,56190,0.0773,0.1,38.55475706,27.26758976,34.2107812,0.887329705,1.254631652,0.12697681,0.202953314
1,56180,0.0874,0.1,51.1091146,36.14657377,46.1464102,0.902899817,1.276646868,0.107542588,0.216698035
2,56180,0.0978,0.1,66.17412013,46.80119649,60.6761602,0.916916766,1.296466004,0.090611534,0.228672409
3,56180,0.1093,0.1,85.43251585,60.42156591,78.0417578,0.913490104,1.291620908,0.094702609,0.225779024
4,56180,0.123,0.1,112.0623245,79.25531699,103.198156,0.920899655,1.302097574,0.08589464,0.2320084
5,56190,0.1533,0.1,185.9183998,131.4895241,174.828656,0.940351553,1.329601405,0.063432072,0.247894898
6,56180,0.1733,0.1,246.359443,174.2360409,231.592781,0.940060499,1.329189873,0.063761323,0.247662038
7,56190,0.1934,0.1,317.0963414,224.2642312,300.836125,0.948721526,1.341436052,0.054050079,0.254530249
8,56180,0.2174,0.1,414.7640297,293.3390397,390.438906,0.941351897,1.331015832,0.062301997,0.248694136
9,56180,0.2447,0.1,544.305989,384.9567095,513.24,0.942925506,1.333240822,0.060529166,0.249947959
10,56190,0.2711,0.1,688.9679829,487.2679211,650.475438,0.94413014,1.334944103,0.059176016,0.250904965
11,70800,0.0271,0.1,4.956331176,3.505331522,3.55019,0.716293943,1.012797214,0.396074908,0.012635515
12,70780,0.0306,0.1,6.54905121,4.631771936,4.7736,0.728899477,1.030620692,0.371931291,0.029710923
13,70780,0.035,0.1,8.917441631,6.306799957,6.71914,0.753482925,1.065380232,0.327170089,0.061367979
14,70780,0.0391,0.1,11.50214212,8.134811804,9.00817,0.783173248,1.10736059,0.276856689,0.096951789
15,70770,0.0435,0.1,14.69248633,10.39116105,11.5612,0.786878391,1.112599443,0.270844404,0.101203936
16,70780,0.0487,0.1,19.0488005,13.47213463,15.2358,0.79982989,1.130912095,0.250265854,0.115757976
17,70770,0.0548,0.1,24.97656258,17.66450405,20.4215293,0.817627695,1.156077139,0.223050547,0.135005817
18,70770,0.0617,0.1,32.79999657,23.19757454,27.0633301,0.825101614,1.166644817,0.211971936,0.14284109
19,70790,0.0697,0.1,43.42301906,30.71063496,36.5629883,0.842018567,1.190564387,0.187622267,0.160062227
20,70790,0.078,0.1,56.23269257,39.77018945,48.4908086,0.862324146,1.219275273,0.159656731,0.179840663
21,70790,0.0872,0.1,72.65188655,51.38255274,63.07,0.86811235,1.227459451,0.151924632,0.185309137
22,70770,0.0981,0.1,95.18960792,67.32220293,83.4620703,0.876798131,1.23974063,0.14051338,0.193379667
23,70780,0.1093,0.1,122.0571025,86.32405581,109.695156,0.898719974,1.270736818,0.112693641,0.213054988
24,70790,0.1222,0.1,157.7548891,111.5710726,142.114047,0.900853519,1.273753525,0.110058383,0.214918757
25,70780,0.1383,0.1,209.5996945,148.2379587,189.283453,0.903071226,1.27688923,0.10733237,0.216846711
26,70780,0.1543,0.1,269.5448172,190.6337391,246.070234,0.912910278,1.290801068,0.095397899,0.225287285
27,70780,0.1734,0.1,352.4396107,249.2605181,321.688719,0.91274848,1.290572295,0.095592074,0.225149956
28,70780,0.1953,0.1,463.1985073,327.5939947,420.147156,0.907056369,1.282523986,0.102467316,0.220287487
29,70780,0.2166,0.1,587.5734426,415.5573219,538.7755,0.916950054,1.296513072,0.090571941,0.228700411
30,70790,0.2442,0.1,774.1705948,547.5268889,705.880438,0.911789265,1.289216023,0.096744651,0.224334803
31,70780,0.2752,0.1,1018.586477,720.3883599,920.26,0.903467718,1.277449847,0.10684641,0.217190403
32,79430,0.0691,0.1,50.85438484,35.96641788,42.8803086,0.843197863,1.192231841,0.185961261,0.161236963
33,79430,0.1921,0.1,532.8584838,376.8605393,488.061625,0.91593104,1.295072246,0.091785251,0.227842305
34,112170,0.0976,0.1,191.6007296,135.5083132,170.814016,0.891510259,1.260542707,0.121692084,0.206690901
35,112180,0.2192,0.1,1229.817301,869.7799235,1142.60512,0.929085254,1.313671527,0.07632749,0.238774702
36,112180,0.2457,0.1,1598.542661,1130.558427,1482.08275,0.927146198,1.310929815,0.078578548,0.237182656
37,125890,0.0153,0.1,3.241248571,2.292351012,2.36501,0.729660175,1.031696275,0.370501,0.030722487
38,125890,0.0197,0.1,5.793483178,4.097401583,4.35665,0.751991482,1.06327142,0.329802297,0.059506368
39,125890,0.0221,0.1,7.544906437,5.336083774,5.71188,0.757051137,1.070425473,0.320914732,0.065792038
40,125890,0.0245,0.1,9.561582408,6.762364141,7.27026,0.76036159,1.075106257,0.31516375,0.06985938
41,125890,0.0275,0.1,12.46799488,8.817904598,9.46326,0.759004162,1.073186934,0.317515833,0.068195886
42,125890,0.0308,0.1,16.17647566,11.44070241,12.91325,0.798273386,1.128711292,0.252703669,0.114033848
43,125890,0.0347,0.1,21.27428409,15.04609276,17.1390801,0.805624294,1.13910504,0.241273392,0.122117834
44,125880,0.0392,0.1,28.15003947,19.908924,22.8554102,0.811913966,1.147998264,0.231657591,0.128918544
45,125900,0.0439,0.1,36.52430286,25.83156484,30.6626602,0.839513907,1.187022946,0.191165496,0.157556302
46,125880,0.049,0.1,47.00534667,33.24421181,39.4816797,0.839940188,1.187625681,0.190560965,0.157983853
47,125880,0.0552,0.1,61.80678299,43.712427,51.9619414,0.840715839,1.188722406,0.189462544,0.158760704
48,125880,0.0615,0.1,79.22826783,56.03365369,68.3712266,0.862965056,1.220181482,0.158795472,0.180449782
49,125880,0.0687,0.1,102.1777575,72.26452421,89.2142109,0.873127509,1.234550589,0.14530809,0.189988641
50,125890,0.0778,0.1,135.9993772,96.18463473,119.643,0.87973197,1.243888905,0.136709855,0.196069685
51,125890,0.0868,0.1,174.8915985,123.6908938,157.202234,0.898855264,1.270928111,0.112526165,0.213173435
52,125890,0.0976,0.1,228.9760347,161.9417435,204.929812,0.894983671,1.265453907,0.117338822,0.209769716
53,125880,0.1098,0.1,300.1020126,212.2451078,270.698375,0.902021192,1.275404544,0.108621404,0.21593505
54,125890,0.122,0.1,382.3475239,270.4126864,350.701906,0.917233365,1.296913657,0.090235089,0.228938646
55,125890,0.1373,0.1,501.5958035,354.7502212,459.92925,0.916932013,1.296487564,0.090593398,0.228685235
56,125890,0.1548,0.1,660.7908398,467.3398282,609.907875,0.922996867,1.305062908,0.083427296,0.233753412
57,125890,0.1738,0.1,862.1615903,609.7579222,797.364,0.92484287,1.307673047,0.081264755,0.235282854
58,125890,0.1952,0.1,1125.798837,796.2135723,1035.41,0.919711378,1.300417421,0.087297628,0.231016146
59,125890,0.2186,0.1,1460.288077,1032.778813,1344.10862,0.920440728,1.301448677,0.086436063,0.231625482
60,141290,0.0134,0.1,2.856263652,2.020073046,2.27932,0.798007564,1.128335435,0.253120954,0.113738727
61,141280,0.0151,0.1,3.757824124,2.657695559,3.00545,0.799784636,1.13084811,0.250336596,0.115707944
62,141280,0.0173,0.1,5.136396016,3.632681156,4.07385,0.793133938,1.121444417,0.260821095,0.108292854
63,141280,0.0194,0.1,6.683147347,4.726610517,5.36556,0.802849275,1.135181327,0.245563808,0.119083466
64,141280,0.0215,0.1,8.463343787,5.985642345,6.83684,0.807817829,1.142206568,0.23790286,0.12450162
65,141290,0.0241,0.1,11.00285015,7.781690952,8.92663,0.811301606,1.147132423,0.232587231,0.128261062
66,141290,0.027,0.1,14.28526169,10.10315419,11.8730303,0.831138453,1.17518055,0.203168975,0.149066924
67,141290,0.0304,0.1,18.76036617,13.26814141,15.8148496,0.842992586,1.191941592,0.186250053,0.161032716
68,141290,0.0344,0.1,24.9225208,17.62628336,21.1373398,0.848122065,1.199194372,0.179075562,0.166106827
69,141280,0.0385,0.1,32.27797864,22.82838091,27.9377109,0.865534711,1.223814821,0.155355167,0.182882914
70,141290,0.043,0.1,41.61598889,29.43262516,36.1409,0.868437852,1.227919691,0.151492876,0.185614493
71,141280,0.0484,0.1,54.60852748,38.62150973,47.8259219,0.875795853,1.238323469,0.141818606,0.192456555
72,141290,0.0539,0.1,69.93737791,49.46273496,62.0272617,0.886897158,1.254020057,0.127526445,0.202564588
73,141270,0.0603,0.1,90.48509266,63.9949665,81.2684922,0.898142333,1.269920068,0.113409271,0.212548864
74,141280,0.0682,0.1,120.0811225,84.92655737,108.287289,0.90178445,1.275069806,0.108912446,0.215729213
75,141280,0.076,0.1,154.0043037,108.9184966,141.388609,0.918082194,1.29811385,0.089227094,0.229651544
76,141280,0.0855,0.1,201.8668534,142.7689594,185.775344,0.92028652,1.301230637,0.086618111,0.23149673
77,141290,0.0963,0.1,265.345091,187.6635113,245.659766,0.925812364,1.309043854,0.080132475,0.236083652
78,141290,0.1069,0.1,337.2982816,238.5519161,317.139156,0.940233536,1.329434536,0.063565552,0.247800495
79,141280,0.1203,0.1,442.3947036,312.8806459,417.771531,0.944341168,1.335242485,0.058939326,0.251072362
80,141290,0.1355,0.1,581.549881,411.2971989,547.50175,0.941452776,1.33115847,0.062188168,0.248774641
81,141290,0.1522,0.1,759.5619795,537.1950452,720.560875,0.948653164,1.341339391,0.054126037,0.254476528
82,141290,0.1711,0.1,993.9547852,702.9677631,936.401375,0.942096551,1.332068729,0.06146233,0.249287985
83,141280,0.1916,0.1,1288.961087,911.6089643,1219.05988,0.945769343,1.337261839,0.057340257,0.252203293
84,158760,0.0122,0.1,2.756562248,1.949559906,2.31561,0.840035447,1.187760372,0.190425956,0.158079337
85,158760,0.0138,0.1,3.658793989,2.587657169,3.05861,0.835961251,1.181999701,0.196227695,0.153976097
86,158750,0.0158,0.1,4.992852987,3.531161325,4.14306,0.829798116,1.173285392,0.205112402,0.147692448
87,158750,0.0177,0.1,6.481292249,4.583849872,5.43162,0.838045839,1.184947185,0.193252151,0.15608053
88,158750,0.0196,0.1,8.192365961,5.793995119,6.83262,0.8340228,1.179258846,0.199007988,0.152009753
89,158760,0.022,0.1,10.68362004,7.555917626,8.9355,0.83637381,1.182583035,0.19563763,0.154393417
90,158750,0.0246,0.1,13.80836459,9.765871961,11.8832598,0.860584157,1.216815032,0.162001405,0.178182407
91,158740,0.0277,0.1,18.13565156,12.82631625,15.6034,0.860371625,1.216514523,0.162288447,0.177979399
92,158750,0.0313,0.1,24.0160091,16.98515913,20.8739492,0.869168108,1.228952231,0.150525417,0.186298723
93,158750,0.0351,0.1,31.24926512,22.10083027,27.4909707,0.87973175,1.243888594,0.136710139,0.196069484
94,158750,0.0392,0.1,40.27913264,28.48714267,35.4005898,0.878881631,1.242686577,0.137809649,0.195291863
95,158740,0.0442,0.1,53.06769183,37.5317642,47.0724492,0.887026505,1.254202945,0.127362029,0.202680871
96,158750,0.0491,0.1,67.57448679,47.79159629,61.5298203,0.910548096,1.287461083,0.098239625,0.223277493
97,158750,0.0549,0.1,87.33719592,61.76863794,78.8897188,0.903277441,1.277180806,0.107079569,0.217025502
98,158750,0.0621,0.1,115.9229427,81.98571295,105.385156,0.909096625,1.285408789,0.099993083,0.222037372
99,158750,0.0693,0.1,149.1539138,105.4880913,136.979141,0.918374433,1.298527059,0.088880487,0.229896679
100,158750,0.0779,0.1,195.1490893,138.0178664,180.217344,0.923485447,1.305753731,0.082854097,0.234158803
101,158750,0.0878,0.1,256.8900309,181.6837276,238.358375,0.927861522,1.311941241,0.077747031,0.237770741
102,158750,0.0974,0.1,326.0550571,230.600222,307.5635,0.94328701,1.333751968,0.060122729,0.250235408
103,158750,0.1097,0.1,428.5098297,303.0606633,405.323625,0.945891079,1.337433966,0.057204178,0.252299534
104,158750,0.1236,0.1,563.6478478,398.6361077,532.661938,0.945026119,1.336210965,0.058171811,0.251615182
105,158750,0.139,0.1,738.2120456,522.0954495,696.741562,0.943823074,1.33450993,0.059520611,0.250661252
106,158750,0.1559,0.1,960.8986217,679.5890163,909.517,0.946527531,1.338333873,0.056493305,0.252802294
107,158750,0.1746,0.1,1246.577097,881.6331752,1184.33038,0.950065891,1.343336904,0.052558575,0.255585105
108,177890,0.0107,0.1,2.430863648,1.719211786,2.31698,0.953150952,1.347698997,0.049151761,0.257994551
109,177880,0.0121,0.1,3.224205364,2.28029732,3.01302,0.934500027,1.321327694,0.070090927,0.243185469
110,177900,0.0138,0.1,4.361955414,3.084963306,4.08506,0.936520347,1.324184308,0.067782459,0.244818116
111,177890,0.0155,0.1,5.695967535,4.028434308,5.26115,0.923662217,1.306003672,0.082646861,0.234305369
112,177880,0.0172,0.1,7.233983139,5.116185386,6.58718,0.910588243,1.287517848,0.098191205,0.223311738
113,177890,0.0193,0.1,9.426827044,6.667059326,8.58442,0.910637265,1.287587163,0.098132086,0.223353549
114,177880,0.0215,0.1,12.0794106,8.543081011,11.29696,0.935224439,1.322351969,0.06926205,0.243771686
115,177900,0.0243,0.1,16.00603641,11.32016041,14.8440596,0.927403838,1.311294104,0.07827891,0.237394573
116,177900,0.0275,0.1,21.26816158,15.04176266,19.6430391,0.923588954,1.305900083,0.082732742,0.234244631
