,frequency,measured loss,prediction loss,prediction error
0,100000.0,3.918881104,4.457288,13.738785895840572
1,100000.0,8.129781316,8.744207,7.557719480017409
2,100000.0,14.13954989,15.184374,7.3893721774676715
3,100000.0,22.70850955,23.95935,5.508248056453803
4,100000.0,32.77742038,35.251953,7.549504251133498
5,100000.0,45.36873248,48.9303,7.850272625160558
6,100000.0,59.29827389,65.270294,10.071153690799495
7,100000.0,75.5195138,84.46296,11.84256232532946
8,150000.0,6.987917622,7.6475434,9.43951895270881
9,150000.0,14.42850318,15.128676,4.852708737385095
10,150000.0,24.93659236,25.916016,3.927654792845967
11,150000.0,39.06387898,40.261177,3.064974893049607
12,150000.0,56.46775796,58.616726,3.805654836080301
13,150000.0,77.10530786,81.172646,5.275042434475094
14,150000.0,100.6047983,107.737885,7.0902047834873265
15,150000.0,129.9829936,138.80853,6.789764468729519
16,200000.0,10.03671975,11.484259,14.42243021414839
17,200000.0,20.77091295,22.616901,8.887372703110186
18,200000.0,36.33300212,38.971855,7.262964493984444
19,200000.0,57.40359873,60.58494,5.542062177978146
20,200000.0,83.43622081,88.08145,5.567402934744248
21,200000.0,114.6692357,121.28098,5.765929484774097
22,200000.0,157.2534395,160.66362,2.168588811767881
23,200000.0,191.7285563,207.02855,7.980028217808015
24,250000.0,14.13648408,16.153759,14.269990411120288
25,250000.0,29.44564331,31.799156,7.992737174010284
26,250000.0,51.74869851,54.28184,4.895084979937547
27,250000.0,80.75363057,85.92149,6.399542563964056
28,250000.0,117.635414,127.26282,8.184102946084334
29,250000.0,162.1664119,176.69096,8.95657224880436
30,250000.0,214.0707006,233.93356,9.278646062609218
31,250000.0,275.4100425,300.6476,9.163634991774368
32,300000.0,19.7224034,22.252491,12.828495320780489
33,300000.0,40.72938429,44.03129,8.106932904908536
34,300000.0,71.469569,75.76488,6.009982121671855
35,300000.0,109.8175796,117.996864,7.448065008025049
36,300000.0,158.9319745,171.33365,7.803133523418618
37,300000.0,219.5968365,240.31322,9.433824727746451
38,300000.0,288.4550955,321.77036,11.54954800394897
39,300000.0,368.22,415.98975,12.97315357496876
40,350000.0,25.52446285,29.566181,15.83468516698415
41,350000.0,54.17069427,59.09227,9.085310228683062
42,350000.0,91.74458599,101.534294,10.670611276707952
43,350000.0,142.7674522,157.93452,10.623620511827559
44,350000.0,209.8628662,229.54138,9.376844980847538
45,350000.0,288.8536518,316.86453,9.697256896754627
46,350000.0,382.7519745,420.2071,9.785741232056331
47,350000.0,479.6011465,543.47833,13.3188142867651
48,400000.0,34.28963482,38.551174,12.428068616620967
49,400000.0,69.15870913,76.87522,11.15768674620055
50,400000.0,117.3135032,131.67154,12.239031070585764
51,400000.0,181.8412951,205.0221,12.747819252945094
52,400000.0,271.6544161,297.7625,9.610775514659952
53,400000.0,371.6000637,410.93124,10.584277032911702
54,400000.0,491.04431,545.9532,11.182061357183073
55,400000.0,629.3356688,702.93304,11.69445484854326
56,450000.0,43.18510403,48.955082,13.361037420886973
57,450000.0,85.29870488,97.76044,14.609520917404517
58,450000.0,146.9599575,167.17273,13.753931571589833
59,450000.0,233.8835456,259.6799,11.02957262635533
60,450000.0,338.7958174,377.4092,11.39724601720486
61,450000.0,466.3261571,520.8485,11.691892640389806
62,450000.0,612.7189384,692.008,12.940526599768114
63,450000.0,782.5498938,891.6891,13.946611452988808
64,500000.0,53.7016242,61.535114,14.587063622425932
65,500000.0,108.0777282,122.941246,13.752618675708662
66,500000.0,186.4170276,210.301,12.812116779533321
67,500000.0,287.0064968,326.0873,13.616700118899765
68,500000.0,416.3686624,473.0656,13.617007117240902
69,500000.0,570.4106582,653.5631,14.57764699102226
70,500000.0,743.6523355,868.9552,16.849656581938138
71,500000.0,949.7902335,1120.9006,18.015599153412964
