Frequency,Flux_Density,T,Power_Loss
63010,0.0304,25,6241.59
63010,0.0385,25,11752.9502
63010,0.0485,25,21446.8301
63010,0.0612,25,40003.0898
63010,0.0766,25,75955.8672
63010,0.0965,25,138217.797
63010,0.1223,25,254842.688
63010,0.1543,25,482214.406
63010,0.1936,25,916984.938
63010,0.2431,25,1762010.75
63010,0.3068,25,3275475.5
79530,0.0242,25,3478
79530,0.0306,25,6793.23
79530,0.0385,25,12568.2197
79530,0.0486,25,24715.1602
79530,0.061,25,47561.4883
79530,0.0769,25,89252.0938
79530,0.0973,25,167529.422
79530,0.1228,25,319122.5
79530,0.1542,25,584238.688
79530,0.1937,25,1145254.25
79530,0.2444,25,2222408.5
79530,0.3063,25,4061883.5
99900,0.0243,25,3668.39
99900,0.0306,25,7025.27
99910,0.0386,25,14540.7305
99900,0.0484,25,29550.6504
99900,0.061,25,55562.7188
99900,0.0773,25,109132.883
99910,0.0975,25,211867.125
99900,0.1225,25,388875.531
99900,0.1539,25,732006.188
99910,0.1943,25,1453487.38
99910,0.2436,25,2776791.75
125890,0.0193,25,2247.14
125890,0.0243,25,4185.29
125890,0.0307,25,9037.14
125890,0.0385,25,19164.5293
125890,0.0485,25,37124.6211
125890,0.0613,25,74601.0234
125890,0.0775,25,145128.531
125890,0.0973,25,267440.031
125890,0.1223,25,502858.531
125890,0.1543,25,954911.312
125890,0.1936,25,1845889.38
158750,0.0243,25,4981.41
158740,0.0306,25,11562.0098
158750,0.0385,25,22779.0605
158750,0.0487,25,48414.2
158750,0.0615,25,95924.9688
158750,0.0772,25,179730.406
158740,0.0969,25,340045.906
158740,0.1223,25,647481.062
158750,0.1535,25,1196835.38
199170,0.0244,25,6908.82
199170,0.0307,25,14269.4102
199170,0.0388,25,31666.7305
199170,0.049,25,65218.1484
199170,0.0615,25,120605.562
199170,0.0772,25,233363.812
199170,0.0975,25,444965.219
199170,0.1223,25,821808.75
251230,0.0193,25,4501.85
251230,0.0244,25,8949.11
251230,0.0308,25,21259.6
251230,0.0388,25,43573.9805
251230,0.0487,25,82891.0312
251230,0.0612,25,159339.516
251230,0.0772,25,307036.938
251230,0.0968,25,567009.625
316460,0.0194,25,6010.75
316460,0.0244,25,13907.0703
316460,0.0308,25,29406.6504
316460,0.0386,25,56218.4297
316460,0.0485,25,110427.453
316460,0.0611,25,212031.469
316460,0.0767,25,394478.094
396820,0.0194,25,10042.8203
396820,0.0245,25,20428.9199
396820,0.0308,25,39476.8789
396820,0.0386,25,77805.5
396820,0.0487,25,150578.844
396820,0.061,25,279345.094
499970,0.0122,25,3662.96
499970,0.0154,25,7852.98
499970,0.0194,25,15221.5
499970,0.0243,25,28281.1191
499970,0.0305,25,56497.1602
499970,0.0385,25,108572
499970,0.0483,25,201532.344
