fs(kHz),Bm(mT),Pv
500,10,1.1629
500,20,6.2991
500,30,18.338
500,40,44.572
500,50,89.174
500,60,158.49
500,70,273.85
500,80,435.1
500,90,648.85
500,100,925.6
500,110,1282.1
600,10,1.6808
600,20,8.8701
600,30,26.356
600,40,60.576
600,50,119.03
600,60,211.59
600,70,363.87
600,80,564.13
600,90,833.46
600,100,1184.8
600,110,1673.4
700,10,2.2638
700,20,11.795
700,30,35.38
700,40,80.354
700,50,154.49
700,60,275.19
700,70,460.93
700,80,709.46
700,90,1042.2
700,100,1476.2
700,110,2092.5
800,10,3.0782
800,20,15.662
800,30,45.406
800,40,102.47
800,50,197.09
800,60,347.91
800,70,579.81
800,80,881.09
800,90,1282.3
800,100,1810.6
800,110,2545.1
900,10,4.0935
900,20,21.014
900,30,59.7
900,40,126.74
900,50,244.49
900,60,425.77
900,70,705.68
900,80,1066.7
900,90,1552.1
900,100,2195.2
900,110,3046.1
1000,10,5.4416
1000,20,27.717
1000,30,76.367
1000,40,161.38
1000,50,305.3
1000,60,517.76
1000,70,849.65
1000,80,1278.6
1000,90,1859
1000,100,2654.2
1000,110,3661.2
