,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,Ratio of measured and iGSE,Ratio of measured and SE,Error of iGSE,Error of SE
0,56190.0,0.0216,0.1,2.768700869740735,2.353933683521085,2.15098,0.7768914379693972,0.9137810529914756,0.2871811312707393,0.09435405420835387
1,56190.0,0.0242,0.1,3.5880593624373467,3.0505475994253444,2.82907,0.7884680029591903,0.9273974287544093,0.2682822844388249,0.07828636245315392
2,56180.0,0.0272,0.1,4.682919376508748,3.9813913370171106,3.9852600000000002,0.851020416877458,1.0009716861909355,0.1750599400061094,0.0009707429334321176
3,56180.0,0.0305,0.1,6.080546395019549,5.169645854443472,5.29057,0.8700813473495405,1.0233911855785227,0.14931782303599592,0.022856543918051968
4,56180.0,0.0346,0.1,8.107292980522923,6.892774238487532,7.2014700000000005,0.8882705999771953,1.0447854159779075,0.12578306658542243,0.04286565958234476
5,56190.0,0.0382,0.1,10.163003850017697,8.640527891534672,9.45076,0.9299179789234798,1.093771135124641,0.075363658585944,0.08573195261178236
6,56180.0,0.0431,0.1,13.380307931706373,11.37586146649253,13.0111904,0.9724133754177884,1.1437542939780263,0.028369236046716557,0.12568634254306738
7,56190.0,0.0488,0.1,17.766384816331644,15.104879010449688,17.577,0.9893402727516319,1.1636637398975576,0.010774581346739642,0.1406452175883435
8,56190.0,0.0545,0.1,22.85724583384799,19.433100003271612,23.4661191,1.0266380853834265,1.2075334916225111,0.02594690939551269,0.17186561951474918
9,56180.0,0.0608,0.1,29.327595498148032,24.934154373360144,30.5705605,1.0423820971593276,1.2260516255029623,0.04065888820886903,0.18437365996740082
10,56180.0,0.0687,0.1,38.75071160993021,32.94563393103855,40.928421900000004,1.0561979432014286,1.2423018475125092,0.05320777564770453,0.1950426524742566
11,56180.0,0.0763,0.1,49.22779276982899,41.85318855956702,54.1451484,1.0998898255130543,1.2936923150535735,0.09081802849340809,0.22701867487047048
12,56190.0,0.0859,0.1,64.52095830075629,54.85535064372326,71.1895234,1.1033550225363833,1.2977680857855523,0.0936734055905157,0.22944630018799558
13,56180.0,0.0968,0.1,84.70949618826324,72.01953037647075,94.0040312,1.1097224683178382,1.3052574865263453,0.09887379182667175,0.23386763889684387
14,56180.0,0.1085,0.1,109.88928319757112,93.42724163660652,123.706422,1.12573690900856,1.3240936993641215,0.11169297906319597,0.2447664387495863
15,56180.0,0.1214,0.1,141.98183678532976,120.71214760317433,161.314641,1.1361639252765872,1.336357973932343,0.11984531654922899,0.2516975095696718
16,56190.0,0.1368,0.1,186.48022341679348,158.54442204600912,211.636047,1.134898077245338,1.334869081288674,0.11886360541976346,0.25086286436823724
17,56190.0,0.1516,0.1,235.71433606746427,200.40298373221182,272.464812,1.1559110767111649,1.3595846076028522,0.13488154915408204,0.26448122874592767
18,56190.0,0.171,0.1,310.21612988609456,263.7439837907839,356.818719,1.1502261959460878,1.3528980410148352,0.1306057856059548,0.2608459989713043
19,56180.0,0.1925,0.1,406.32622272778,345.45623639955613,464.280125,1.142628998648326,1.3439622044136776,0.12482529221387621,0.25593145646810506
20,56190.0,0.2157,0.1,526.8554340613725,447.9294842347196,592.936375,1.1254251862398552,1.323727050504439,0.11144693381077769,0.24455725247971233
21,56190.0,0.2426,0.1,688.8181462996203,585.6292581535051,767.188,1.113774374443223,1.3100233455188892,0.1021520848871199,0.23665482495359008
22,56190.0,0.2714,0.1,889.6569955309816,756.3813019485375,994.5895,1.1179471470422044,1.3149313678667187,0.10550333023726718,0.23950403463083267
23,70780.0,0.0173,0.1,2.257636921733595,1.9194300306364287,1.55742,0.689845202745926,0.8113971205731337,0.44960057128686864,0.23244213547818102
24,70790.0,0.0193,0.1,2.897994900258404,2.463858730621694,2.12269,0.7324685077295088,0.8615307256128242,0.3652464091593233,0.16072470809288872
25,70780.0,0.0217,0.1,3.7854292455031318,3.218350347977474,2.97555,0.7860535244542688,0.924557514961024,0.2721779991944789,0.08159847691266281
26,70780.0,0.0244,0.1,4.9462502706299665,4.2052737608492325,3.88543,0.7855304093832564,0.9239422261097594,0.27302519171107614,0.08231875515688936
27,70770.0,0.0277,0.1,6.604568512598602,5.615166469169497,5.3913,0.8162985953913233,0.9601318197067437,0.225041921725484,0.04152365276825574
28,70790.0,0.0305,0.1,8.229776012448465,6.996908613443075,7.152399999999999,0.869088051628767,1.0222228694338211,0.15063139819479693,0.021739749812220214
29,70800.0,0.0345,0.1,10.902714372037828,9.269425557175667,9.781469999999999,0.8971591537871081,1.0552401483420886,0.11462943423001135,0.05234841417745303
30,70780.0,0.0389,0.1,14.330878929053396,12.184031505259815,13.4091602,0.9356830286811809,1.1005519966204371,0.06873799069485319,0.09136505765217012
31,70770.0,0.0435,0.1,18.48848590011119,15.718805232163527,18.0164902,0.9744708299716229,1.1461742755826627,0.02619798278530355,0.12753232967853376
32,70790.0,0.0486,0.1,23.816358093464814,20.248531774491262,23.525689500000002,0.9877954222755589,1.1618466840957449,0.012355369795423494,0.13930124026795218
33,70790.0,0.0549,0.1,31.449339953261386,26.73804940416683,31.925480500000003,1.0151399217740733,1.1940093316988474,0.014914123116756727,0.16248560756456498
34,70790.0,0.0609,0.1,39.84278594922812,33.87410930383067,42.1196,1.0571449509999937,1.2434157197230535,0.05405592766246298,0.19576374647834566
35,70780.0,0.0685,0.1,52.090304591233114,44.2868797789841,55.880968800000005,1.0727710125427998,1.2617951203353406,0.06783461865762948,0.20747831095254568
36,70780.0,0.0773,0.1,68.6235558322231,58.34335565892541,74.64525780000001,1.087749780592823,1.279413173221906,0.08067092465419692,0.21839166507741095
37,70780.0,0.0867,0.1,89.15526460817048,75.79929732317377,98.11888280000001,1.1005394154930035,1.2944563639114708,0.09135467033496965,0.22747492470252864
38,70770.0,0.0969,0.1,114.87871821816773,97.66923082550068,127.766938,1.1121897944348236,1.308159559772442,0.10087288608131365,0.23556725742695125
39,70770.0,0.109,0.1,150.24300615843143,127.73574667274006,168.686906,1.1227604552994597,1.3205927893636313,0.10933806469583696,0.24276430398966434
40,70790.0,0.1212,0.1,191.44542801542175,162.76581066838474,218.108766,1.1392738299419216,1.3400158491783616,0.12224789710918015,0.2537401698545911
41,70790.0,0.1365,0.1,251.07436252318362,213.46199059317271,286.554469,1.1413131397417775,1.3424144888919864,0.12381627339693091,0.2550735944265705
42,70780.0,0.1539,0.1,330.0387379169723,280.59705204712054,376.836969,1.1417961763470346,1.3429826373825122,0.12418694271746916,0.2553887353681572
43,70780.0,0.1725,0.1,428.13354942257524,363.99670114078117,488.058219,1.1399672360604427,1.3408314346542283,0.12278180603167911,0.2541940961744542
44,70780.0,0.1938,0.1,558.3503209718118,474.7062574020256,621.766125,1.1135770888746201,1.3097912978918884,0.10199301872257543,0.23651958780799517
45,70780.0,0.2174,0.1,725.657103005625,616.9495289721291,810.93975,1.1175247188253787,1.314434507067489,0.10516520739595636,0.2392165645202013
46,79430.0,0.027,0.1,7.2466228850141645,6.161037433562451,6.13537,0.8466523092691621,0.995833910467314,0.18112239115394255,0.00418351844508989
47,79430.0,0.1074,0.1,168.96277419962811,143.6511866617486,193.110109,1.1429151179291244,1.3442987384066025,0.12504438491291972,0.2561177278308688
