,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,ratio igse,ratio se,error for iGSE,error for SE,loss error percent by iGSE
193,130000,0.0108,0.1,0.909996188,0.036983863,1.14481,1.258038237,30.95431107,0.205111601,0.967694322,1.258038237
2121,150000,0.01,0.9,0.918630008,0.037334756,1.2061,1.312933379,32.30501895,0.238346731,0.969045057,1.312933379
217,140000,0.0106,0.1,0.966486999,0.03927975,1.24705,1.290291542,31.74791082,0.224981357,0.968501865,1.290291542
2073,130000,0.0111,0.9,0.97758037,0.039730604,1.1867,1.213915537,29.86866245,0.176219458,0.966520094,1.213915538
2145,160000,0.01,0.9,1.010193372,0.041056054,1.63398,1.617492299,39.79875903,0.381759035,0.974873588,1.617492299
2097,140000,0.0109,0.9,1.03965162,0.04225329,1.32068,1.270310145,31.25626431,0.212790669,0.968006413,1.270310145
169,120000,0.0121,0.1,1.088751119,0.044248781,1.19187,1.094712997,26.93565728,0.086518564,0.962874491,1.094712996
2049,120000,0.0123,0.9,1.136435002,0.046186739,1.31237,1.154813076,28.41443298,0.134058991,0.964806618,1.154813075
241,150000,0.0109,0.1,1.150799573,0.04677054,1.73865,1.510819122,37.17404161,0.338107398,0.973099508,1.510819122
120,100000,0.0138,0.1,1.173926546,0.047710462,1.37382,1.17027765,28.79494229,0.145501925,0.965271679,1.17027765
2000,100000,0.0138,0.9,1.173926546,0.047710462,1.43602,1.223262226,30.09863958,0.182513791,0.966775907,1.223262226
264,160000,0.0108,0.1,1.235371586,0.050207697,1.64903,1.334845336,32.8441673,0.250849538,0.969553194,1.334845336
2122,150000,0.0112,0.9,1.235466551,0.050211557,1.71721,1.389928362,34.19949714,0.28053846,0.970759804,1.389928363
194,130000,0.0122,0.1,1.25155958,0.050865606,1.73995,1.390225466,34.20680764,0.280692215,0.970766053,1.390225466
95,90000,0.0152,0.1,1.294199799,0.05259858,1.53843,1.188711358,29.24850823,0.158752885,0.965810222,1.188711358
145,110000,0.0136,0.1,1.300174281,0.052841394,1.48682,1.143554385,28.13741061,0.1255335,0.964460127,1.143554384
218,140000,0.0119,0.1,1.307860461,0.053153774,1.76293,1.347949611,33.16660074,0.258132506,0.969849186,1.347949612
2146,160000,0.0111,0.9,1.327120957,0.053936555,1.80841,1.362656501,33.52846692,0.266139339,0.970174598,1.362656501
2074,130000,0.0125,0.9,1.333635325,0.05420131,1.83613,1.376785667,33.87611849,0.273670532,0.970480679,1.376785666
2213,190000,0.0101,0.9,1.335301152,0.054269012,2.36856,1.773802109,43.64479678,0.436239254,0.977087761,1.77380211
1975,90000,0.0154,0.9,1.339199651,0.054427454,1.64871,1.231115912,30.29188174,0.1877288,0.966987854,1.231115912
70,80000,0.0166,0.1,1.37007636,0.055682339,1.80763,1.319364418,32.46325554,0.242059293,0.969195942,1.319364418
2025,110000,0.0139,0.9,1.376506243,0.055943661,1.47886,1.074357641,26.43480912,0.069211255,0.962171091,1.074357641
287,170000,0.0109,0.1,1.383646161,0.05623384,2.31973,1.676534121,41.25149554,0.403531376,0.975758455,1.676534121
2098,140000,0.0122,0.9,1.395834151,0.056729181,1.68687,1.208503173,29.7354901,0.1725301,0.966370152,1.208503173
309,180000,0.0106,0.1,1.399195836,0.056865806,2.49068,1.780079626,43.79925609,0.438227377,0.977168562,1.780079625
1950,80000,0.0169,0.9,1.435765527,0.058352063,1.70385,1.18671884,29.19948177,0.157340419,0.965752817,1.186718839
170,120000,0.0136,0.1,1.477862027,0.06006294,1.84917,1.251246711,30.78720422,0.2007971,0.967518973,1.25124671
2169,170000,0.0112,0.9,1.485444199,0.060371093,2.42101,1.629822246,40.10213961,0.386436157,0.975063675,1.629822245
121,100000,0.0151,0.1,1.485491258,0.060373005,1.69767,1.142834056,28.11968694,0.124982324,0.964437726,1.142834056
2001,100000,0.0152,0.9,1.511351584,0.061424015,1.549,1.024910429,25.21814961,0.024304981,0.96034602,1.024910428
242,150000,0.0121,0.1,1.512166232,0.061457124,2.20601,1.458840935,35.89510632,0.314524308,0.972141049,1.458840935
2191,180000,0.011,0.9,1.541490002,0.062648894,2.60539,1.690176386,41.58716673,0.408345775,0.975954121,1.690176386
2050,120000,0.0139,0.9,1.564625863,0.063589176,2.06088,1.31717112,32.40928928,0.240797201,0.969144649,1.317171119
45,70000,0.0189,0.1,1.580218312,0.064222881,2.12536,1.344978718,33.09350136,0.256493812,0.969782587,1.344978719
331,190000,0.0109,0.1,1.629818307,0.066238713,2.78415,1.708257901,42.03206666,0.414608298,0.976208641,1.708257901
2123,150000,0.0125,0.9,1.646384387,0.066911988,2.33322,1.417178162,34.86998473,0.294372418,0.971322041,1.417178163
195,130000,0.0136,0.1,1.66268762,0.067574581,2.00952,1.208597439,29.73780925,0.172594639,0.966372775,1.208597439
265,160000,0.0121,0.1,1.66288962,0.06758279,2.32678,1.399238995,34.42858751,0.285325806,0.97095437,1.399238994
1925,70000,0.0193,0.9,1.669164374,0.067837807,2.03519,1.219286747,30.0008224,0.179848381,0.96666758,1.219286747
2296,230000,0.01,0.9,1.723593297,0.070049896,3.40462,1.975303574,48.60278451,0.493748701,0.979425047,1.975303574
352,200000,0.0109,0.1,1.757658505,0.071434366,3.23306,1.839413055,45.2591684,0.456348319,0.977905029,1.839413055
2235,200000,0.0109,0.9,1.757658505,0.071434366,3.27795,1.864952714,45.88757742,0.463793375,0.97820761,1.864952714
2075,130000,0.0139,0.9,1.760302386,0.071541818,1.99012,1.130555759,27.81757657,0.115479274,0.964051505,1.130555759
146,110000,0.0153,0.1,1.769090586,0.071898986,1.89165,1.069278201,26.30982863,0.064789688,0.96199139,1.069278201
96,90000,0.0172,0.1,1.78801488,0.072668103,2.163,1.209721476,29.7654667,0.17336344,0.966404021,1.209721476
2214,190000,0.0113,0.9,1.790871123,0.072784186,2.98441,1.666457157,41.00354986,0.399924567,0.975611868,1.666457157
373,210000,0.0107,0.1,1.799285522,0.073126162,3.40635,1.893168126,46.58182389,0.471784895,0.978532399,1.893168126
2147,160000,0.0125,0.9,1.810485812,0.073581362,2.55035,1.40865506,34.66027171,0.290103001,0.971148524,1.40865506
288,170000,0.0121,0.1,1.818129804,0.073892027,2.67514,1.471369093,36.20336467,0.320360877,0.972378258,1.471369093
219,140000,0.0135,0.1,1.818915295,0.073923951,2.5761,1.416283654,34.84797505,0.293926752,0.971303928,1.416283654
2026,110000,0.0156,0.9,1.861230988,0.075643736,2.01767,1.084051369,26.6733256,0.077534489,0.962509362,1.084051369
1976,90000,0.0175,0.9,1.870710072,0.076028983,2.18239,1.166610493,28.7047112,0.142815871,0.965162513,1.166610493
393,220000,0.0106,0.1,1.880100188,0.076410614,3.65446,1.943758116,47.82660168,0.485532695,0.979091134,1.943758116
22,60000,0.0222,0.1,1.918237909,0.077960599,2.69822,1.406613845,34.61004706,0.28907283,0.971106656,1.406613845
2099,140000,0.0138,0.9,1.926507116,0.078296674,2.63909,1.369883339,33.70628489,0.270010831,0.970331943,1.369883338
310,180000,0.012,0.1,1.935291826,0.0786537,3.35133,1.731692324,42.60867575,0.422530212,0.976530601,1.731692324
171,120000,0.0151,0.1,1.942856527,0.078961143,2.28967,1.178506991,28.99742725,0.151468759,0.965514182,1.178506991
2256,210000,0.0111,0.9,1.980506694,0.080491313,3.45358,1.743786078,42.90624505,0.426535162,0.97669337,1.743786078
1902,60000,0.0225,0.9,1.986758031,0.080745378,2.52002,1.26840811,31.2094644,0.211610213,0.967958438,1.268408111
243,150000,0.0135,0.1,2.013373427,0.081827075,2.57828,1.280577148,31.50888627,0.219102104,0.968262921,1.280577148
2170,170000,0.0126,0.9,2.021179304,0.08214432,2.97036,1.469617265,36.16026038,0.319550726,0.972345332,1.469617265
2051,120000,0.0154,0.9,2.045408872,0.083129053,2.52508,1.234511121,30.37542121,0.189962745,0.967078646,1.234511121
413,230000,0.0107,0.1,2.057143368,0.083605963,4.41042,2.143953634,52.75245738,0.533572003,0.981043537,2.143953634
71,80000,0.0194,0.1,2.059412471,0.083698184,2.50517,1.216448883,29.93099587,0.177935042,0.966589819,1.216448883
432,240000,0.0105,0.1,2.08472957,0.084727116,4.50536,2.161124428,53.17494815,0.537277916,0.981194152,2.161124428
332,190000,0.012,0.1,2.095633497,0.085170271,3.31718,1.582900829,38.94762763,0.368248483,0.974324495,1.582900829
2192,180000,0.0124,0.9,2.108535603,0.085694635,3.46355,1.642632923,40.41734935,0.391221261,0.97525815,1.642632923
2354,260000,0.0101,0.9,2.118955983,0.086118138,4.65265,2.195727536,54.0263655,0.544570087,0.981490519,2.195727537
2276,220000,0.0111,0.9,2.12089779,0.086197056,4.06937,1.918701608,47.21008105,0.478814217,0.978818083,1.918701608
1951,80000,0.0197,0.9,2.143724625,0.087124779,2.41448,1.126301378,27.71289669,0.112138173,0.963915717,1.126301379
122,100000,0.0174,0.1,2.152103708,0.08746532,2.23355,1.037844966,25.53640689,0.036464951,0.960840223,1.037844966
2002,100000,0.0174,0.9,2.152103708,0.08746532,2.18283,1.014277329,24.95651991,0.014076356,0.95993031,1.014277329
2124,150000,0.0139,0.9,2.173108578,0.088318996,2.76817,1.273829586,31.34286083,0.214965635,0.968094808,1.273829586
2373,270000,0.01,0.9,2.182492751,0.088700385,5.11816,2.345098282,57.70166612,0.573578639,0.982669478,2.345098282
46,70000,0.0215,0.1,2.213498601,0.089960518,2.48543,1.122851399,27.62800899,0.109410202,0.963804847,1.122851398
266,160000,0.0135,0.1,2.214054052,0.089983092,3.29335,1.487474977,36.59965363,0.327719783,0.972677337,1.487474977
196,130000,0.0152,0.1,2.223887987,0.090382761,2.61801,1.177222061,28.9658113,0.150542593,0.965476541,1.177222061
1926,70000,0.0217,0.9,2.267742174,0.092165073,2.34598,1.034500318,25.45411102,0.033349741,0.960713615,1.034500318
2297,230000,0.0112,0.9,2.318062601,0.094210185,4.3477,1.875574887,46.14893814,0.46683014,0.978331029,1.875574886
2215,190000,0.0125,0.9,2.331689616,0.094764011,3.65415,1.567168278,38.56052484,0.361906431,0.974066743,1.567168278
