,prediction error
0,2.118281862097356
1,0.5793893447474033
2,3.126748048816014
3,1.0323254080602104
4,1.6971755796960841
5,1.0496388339967662
6,1.7824426501215598
7,3.2076230860484287
8,0.8310868021513904
9,12.306897918384337
10,0.16248009527611498
11,1.523102847866369
12,11.653902982732426
13,1.4373358187456977
14,2.5808846666003347
15,1.8922130752951898
16,6.142127372051293
17,5.63240382203484
18,3.830898640433364
19,6.82544889689613
20,0.16423017881236002
21,2.9584301697721536
22,1.3209325543372812
23,4.657714076988941
24,0.783568111284123
25,5.290014257276143
26,6.8960238473395545
27,0.5038377182959971
28,6.194795439835899
29,9.560564233298619
30,3.896997634587841
31,3.1145655249613093
32,1.3345560130170244
33,5.859705731592681
34,2.4850743783444953
35,2.1341304396764587
36,7.729661039284218
37,10.278562517728593
38,3.714768506738645
39,1.108211898386248
40,0.35297559035599274
41,1.8065203319772527
42,1.0150643233720371
43,6.474530573470202
44,6.928102085509487
45,1.606139491194526
46,0.5495274396368574
47,0.270172684648936
48,3.533972788942933
49,0.25496466550744895
50,1.4195006999832442
51,3.6867751305300622
52,0.0990960632112917
53,0.5884158015059396
54,7.547954893618215
55,0.5140449913044992
56,22.58942818403477
57,7.542506793477004
58,6.373418417812508
59,4.958579146177745
60,2.375597755641016
61,4.069907144208253
62,8.900094223154074
63,1.6837040413178228
64,3.1800430154729833
65,0.4890395841550079
66,7.089348511070965
67,2.420928100282952
68,4.588984954431131
69,8.266486244509771
70,2.0367088036606438
71,6.07962714886297
72,4.444388371565014
73,3.9191229203876916
74,3.6065540635156093
75,1.5469643687938601
76,0.8520986896070578
77,5.519487722707189
78,2.448634240358779
79,0.20451055779349353
80,9.13409361055781
81,6.455770878379478
82,3.695546477251594
83,10.648802242435922
84,0.9389331147106874
85,7.659436831083879
86,0.5413343879821781
87,3.6612400609448055
88,6.843887434589083
89,6.518646268985671
90,4.881447058513548
91,6.357136898384841
92,3.326945128727051
93,0.2382977897016177
94,4.180504173219633
95,5.414957034787083
96,0.5107126013390234
97,1.6497435604908515
98,0.5352337165314937
99,0.14958671151522646
100,1.2932464772514174
101,17.825423031995225
102,4.475554448186291
103,0.9538592263624239
104,1.3642727464995303
105,0.4947175618710479
106,1.6784630500798434
107,0.3017222879041239
108,3.573870621167297
109,2.095201021521784
110,8.434458557752517
111,9.240640213429286
112,3.431553850699071
113,6.240564437097709
114,3.52153120175576
115,0.09211545488770985
116,0.06814459391387641
117,8.24617246745208
118,5.301813698811337
119,1.0439787068552073
120,1.3503481313572707
121,1.2769212618127799
122,3.9654092646362176
123,6.193275049124024
124,5.647893198463469
125,1.8082881195841474
126,1.1394407792521213
127,1.7179536416759122
128,1.8741254837327534
129,1.2687408713028636
130,4.420293940243523
131,3.3494271117185614
132,4.02925548141351
133,3.607319482789897
134,2.180230390803482
135,6.866481653671083
136,0.25816224333030885
137,5.226672937497668
138,4.824034615763117
139,4.802959166718525
140,2.3270552885589724
141,2.3571663995842083
142,5.477193379654886
143,3.654747106217743
144,14.247214016535533
145,3.890242689221428
146,0.08516452333993545
147,1.954487854867819
148,0.5809249770333292
149,1.658792116549679
150,3.0535862200546102
151,1.1299249329749481
152,4.55779478892628
153,1.6344038209016463
154,1.8196067165253678
155,5.716997062760953
156,6.601146291563005
157,3.105464315190354
158,2.290590902094057
159,5.215367270989512
160,0.8612531534955327
161,2.585200148137846
162,1.078470043172499
163,1.7354032056611215
164,5.0657672841946955
165,0.8717400628760056
166,1.6974202341387987
167,3.6992511624255626
168,3.3804087605240603
169,6.830750324136913
170,2.2798922852876293
171,1.5382307783634532
172,7.57266049586816
173,5.460166375844368
174,12.922447801917839
175,4.187070640370475
176,4.703731400499569
177,0.6706455452731448
178,5.062153023223405
179,9.683647541706243
180,1.3447441303932772
181,5.774898488430049
182,1.1729831492180727
183,1.6158434451794845
184,6.156920284053786
185,1.8678405258847581
186,1.6941139992032834
187,0.7487294878444927
188,3.927920716906829
189,8.336160782648976
190,5.177226558905959
191,1.1108932823718887
192,2.4970175392022047
193,1.2867770658662616
194,12.374840918361011
195,0.34336932830920874
196,4.327354814864729
197,2.6152557762675537
198,2.3397632030013384
199,0.8117152328266697
200,8.002669828961766
201,4.441208568684588
202,2.063752905309777
203,7.724897939487361
204,1.1105102794750612
205,1.4143369789530336
206,2.3887069110744408
207,1.3217433518271262
208,3.368072793338825
209,8.42563006381097
210,5.326969589295862
211,5.8241981609216715
212,1.548581899794389
213,9.552879203830075
214,6.978350889868937
215,0.07593162086303162
216,1.6236934677476913
217,5.813874519676033
218,0.2722260401076546
219,11.143399637547748
220,0.7297733321899309
221,4.307700914716966
222,9.688750350969212
223,10.719675571280026
224,1.1980163278122717
225,2.3021946107082534
226,0.2992593474781691
227,0.9285575426652259
228,0.5842117049222467
229,4.29526345749026
230,0.5350625484326481
231,2.130255585656529
232,0.9610259323957118
233,8.742677402445993
234,8.769785733169185
235,9.36267888406858
236,8.543040482636709
237,3.7403779337380003
238,0.012347682749118887
239,0.313443016098307
240,1.5341531017432692
241,5.281128411143488
242,4.831326479233576
243,3.5664237609777594
244,7.677229324255748
245,0.27922753207651363
246,3.385552782876048
247,3.6901114972396747
248,0.47552629350526515
249,3.8895904068758016
250,8.173354586083015
251,3.149432940528929
252,6.905141986220106
253,4.1256643809505915
254,0.7295335018292031
255,1.668774717971358
256,2.041535541792454
257,1.9009141550178665
258,1.4370695757813197
259,1.5357214126528305
260,3.813903726891034
261,3.246956699419447
262,2.7995787707500073
263,4.6423491914679875
264,7.566285010553624
265,1.2583397128751292
266,0.6023358265794985
267,3.498824066076066
268,0.38823099260363036
269,2.6890971241350705
270,1.4435832392239516
271,0.9402599201103543
272,0.32440028741693866
273,4.9367848790305455
274,2.725889620903338
275,1.98412012153138
276,3.6158247652283966
277,8.038642040964739
278,9.878133152868013
279,0.16512508856916933
280,9.171190805021034
281,2.50106620800187
282,7.454230902617513
283,1.5135474681208165
284,0.15396687278407772
285,6.107251581495029
286,4.5617362849830965
287,1.4251959982380793
288,3.4194721802148775
289,0.09643276334777345
290,2.857860704069294
291,2.5730150898482096
292,0.6495190067948883
293,1.1149819461248163
294,0.148102952497013
295,8.415034036560607
296,5.689003505445668
297,2.0637768482413485
298,0.6337791397630833
299,4.212724640451296
300,2.151643104000088
301,2.682197170243715
302,0.5717318941799068
303,0.2819943010089416
304,1.5517869144136083
305,5.409067853958863
306,1.2458426992243852
307,1.0677736215960827
308,2.2716808397190262
309,3.3318339019892513
310,7.04739614370796
311,1.8089396378880982
312,0.11422936304502036
313,0.012868687321031034
314,7.982994378126758
315,1.0591111317314958
316,3.0132927098734483
317,1.0301965772592308
318,0.758713550376023
319,3.5274154649998843
320,0.11266784661128394
321,7.145801613206888
322,3.6054563564647193
323,5.259136534151096
324,2.7002353796248753
325,5.107262235118315
326,0.45631668279619453
327,1.4233679049780785
328,2.094642734209464
329,6.684126639689044
330,1.3947686635005858
331,2.0811178638639745
332,3.992754056307887
333,6.869454735322586
334,26.596734238329628
335,0.4957874529777352
336,0.37337991313699453
337,8.157046996527612
338,6.330206267404557
339,17.53229723469504
340,11.334946699937987
341,0.7858975842878066
342,0.6514342443040645
343,2.33012560309488
344,0.3124480144329292
345,10.47854967247135
346,12.071922468829927
347,4.925958663116805
348,1.4397405473993308
349,2.099182516056167
350,3.657712594969165
351,4.388034441789441
352,0.962059224358283
353,0.2431064962192729
354,0.6572212764011371
355,2.41630975585397
356,1.2971689220016438
357,7.891369555296375
358,2.85599557830332
359,2.466821285292763
360,2.9266836882834686
361,0.04561253115495723
362,0.3214036357414797
363,11.149063054274892
364,4.1136719546619105
365,0.8890548180529813
366,2.8000083786497254
367,6.070873156769954
368,1.6888555128051372
369,1.873209316508907
370,1.6087679227321656
371,0.6390121255243463
372,2.7592116412531738
373,11.840070813840725
374,0.9157848464125323
375,0.9284168238914143
376,1.9485995141578336
377,10.0188941208888
378,1.1614258563718425
379,2.604402845625869
380,6.744290107298233
381,2.8114335567053397
382,1.6141914871381906
383,5.970179289677065
384,0.5478201953256356
385,3.6056122152582746
386,6.339634615936508
387,0.8189949569840668
388,4.066328355440219
389,2.145740349485134
390,0.551543848494704
391,7.606827312873198
392,6.07337476839617
393,0.37513929541649865
394,1.1376441908595656
395,6.926325298249448
396,4.947716287726257
397,3.9054313829529366
398,1.9756443864925426
399,6.73481899517948
400,1.713659473679042
401,1.9941899352018373
402,3.2875335632259133
403,1.3957470460452135
404,4.894763816878881
405,0.2065355788467748
406,0.8715753241964085
407,15.930477482623475
408,3.21848125363974
409,1.8760416637142046
410,2.985679101549515
411,1.323475167967171
412,4.89525674259733
413,0.7516414480361633
414,1.711910463926777
415,7.374633226829784
416,2.8827241578241383
417,2.399224543440246
418,5.0068141156727295
419,1.8573596892958524
420,3.1736135589129617
421,4.3253467797357485
422,0.6081955101169225
423,0.4388060400722954
424,1.233020828406261
425,6.420502763136492
426,0.48675671510180485
427,4.038095234483133
428,5.236448020070442
429,1.381309896725754
430,0.34287534410848824
431,0.04720471295779044
432,7.518915748375137
433,0.2020451144004152
434,0.24885400123726978
435,2.775547964124126
436,0.3531982662214059
437,6.638739432993842
438,1.3845560837921578
439,0.19408032407894524
440,1.9181952883546716
441,7.1718612701413145
442,1.4793438593973178
443,4.715421466241632
444,4.573869080004224
445,4.941473292779372
446,2.8114269041398394
447,1.3929205324809266
448,1.684676948456329
449,0.8781133519030904
450,1.1982581297187884
451,2.078305425720783
452,3.54216282553594
453,0.2123369100066584
454,0.2000130410301917
455,1.515706949373231
456,1.081869147210006
457,0.04134463110610115
458,0.12433545847615907
459,0.8494607387288194
460,5.429516912642456
461,3.2576202321287275
462,0.49357157555428355
463,3.3506077492759583
464,6.146781601288903
465,7.792051928856045
466,3.416973536555342
467,1.730157951828441
468,4.54438117280459
469,3.237195496147042
470,0.9301210815381059
471,5.864261503494714
472,5.424093204106828
473,5.610048693072774
474,2.632717156138795
475,5.851337468465401
476,0.9025140698392492
477,2.229307930986641
478,4.373078339805085
479,6.138155027735465
480,3.854343461196961
481,0.5539413790333203
482,1.9906226953473856
483,1.14145140859183
484,2.393995178336728
485,1.818845435465159
486,3.2176639458666862
487,1.380141187227221
488,2.6777568062248305
489,2.1013956282554016
490,0.14902795495647814
491,2.291508500862677
492,9.477891747617788
493,1.7002980335133646
494,4.636752245085759
495,4.5457874582390385
496,1.8551124303065003
497,3.58182378105828
498,6.848327752410054
499,2.085005750728912
500,2.15381235491809
501,3.879359530718043
502,6.2582014682920395
503,0.828797152424326
504,5.895440441239055
505,0.04543357248518343
506,2.525365653020015
507,1.6953222115764754
508,0.5174649916518094
509,10.594212895181123
510,4.904438735769252
511,1.0101242260371566
512,5.801856624255114
513,5.364397406109404
514,1.0288613073338693
515,1.4769478352120187
516,11.998942775203446
517,6.737747429850996
518,2.017021932634603
519,0.2658144936606498
520,3.2713724923647165
521,0.781628543469181
522,1.6643068612345706
523,1.3253164750999311
524,2.725239948148717
525,8.569244688079388
526,2.518238925439428
527,5.405614141509407
528,0.7543417864200408
529,0.6275183491116989
530,1.3551202818177928
531,0.5023915079271173
532,3.310917863970357
533,1.4768804132366338
534,2.9420872386689876
535,0.21418949380727031
536,0.4957647790519744
537,2.567904410916302
538,8.980408544555075
539,2.5819135374745485
540,5.322305408997419
541,7.653245656312561
542,3.9296593444891506
543,1.125132587025847
544,0.617154083778066
545,0.24762834022293906
546,5.965442904299316
547,5.975950774969278
548,1.6523245200576908
549,7.007688480801239
550,8.105843379268617
551,0.43385484702237437
552,5.424436764618483
553,0.3417773467071181
554,10.967383396247781
555,3.830698401108854
556,3.006894607180898
557,2.838190734795212
558,1.1443884730497045
559,0.3633712384403554
560,0.6578082046850567
561,1.8391041412124172
562,0.27135876163846256
563,2.5057215473285592
564,5.536573127510441
565,9.847722117137293
566,0.0999574569787
567,1.800863205721371
568,2.0299779381912177
569,2.3882542576249106
570,4.518517903384569
571,5.447794051313789
572,1.5695801374490699
573,6.064079589253762
574,4.968460770492413
575,4.168862832971524
576,3.1339701693779496
577,3.1536195417523256
578,3.8138023456012577
579,6.329423876204545
580,0.4580194532889938
581,6.189711283843017
582,1.0644323207938164
583,7.497505720735361
584,3.7862160289454363
585,1.1049162472521192
586,7.067385393902082
587,0.6125455642579077
588,2.1410269121776113
589,3.240155458951639
590,0.6333471173458713
591,4.09530005450255
592,1.0737009938782742
593,2.2711504196869123
594,7.253523055077382
595,1.9503906801690962
596,0.5332908202765487
597,1.5772386457225485
598,2.29739171785409
599,0.8370161546634772
600,6.967624034928529
601,2.029600164748515
602,6.063264672359806
603,1.1224790656567
604,5.482347414514812
605,7.142123487919142
606,0.32300152173272034
607,1.867273234946795
608,6.364156411769236
609,1.1827511823781522
610,0.35845956905553683
611,8.579076133611306
612,0.6554737888614015
613,1.3221665813014938
614,9.056538243753192
615,2.927685073701079
616,3.2732143100048283
617,1.6947372443463522
618,0.4857767590165368
619,3.1465932712321854
620,6.026814583366247
621,0.6623824267806655
622,1.098776754967264
623,0.006412689842581633
624,0.5462494551758001
625,5.617141409945116
626,0.6194408205423284
627,0.8328837363382575
628,7.403189093393504
629,0.48598174045755915
630,1.3524818459032608
631,5.12186764004269
632,1.1199783001888635
633,5.250745515218178
634,3.8618595531485855
635,0.8549680371619355
636,5.19907048413847
637,1.8126271103244012
638,5.301508875546071
639,0.13215514688661031
640,1.7400084358607106
641,0.14425703683873936
642,0.23346897584313048
643,1.5350638077801582
644,1.9942704259503925
645,5.3753428141417
646,4.205381625450467
647,5.888120754128656
648,0.5160892603885305
649,3.8166029404350543
650,6.710344551351473
651,0.9021809573104467
652,3.1425226678588576
653,8.250070759718538
654,2.293259443636556
655,6.958728751845919
656,5.589503848550603
657,0.3065737219271141
658,3.986251446623462
659,1.875983997167028
660,7.680757356591643
661,4.555917942992724
662,7.967262340286567
663,1.8104140760436536
664,1.604053531112191
665,6.326492104545322
666,3.227636855237585
667,4.223232565908394
668,1.687371708261255
669,1.0005105803160785
670,0.46504094471686086
671,5.647858406971991
672,3.780245173573859
673,4.878720244515325
674,0.17556327291917528
675,0.17930912747176092
676,0.44902101256111127
677,1.948872559019367
678,4.355180019216534
679,1.2639316783081351
680,1.326939667909785
681,2.365222572492376
682,2.448025163930769
683,2.5886890722831204
684,5.004016285849832
685,2.2964513086148868
686,0.08425485251313192
687,1.349553518528865
688,3.299115362778414
689,2.684630848244384
690,1.414573781527354
691,12.941154767694869
692,3.3347665514624425
693,2.345494898797661
694,0.8835417602839419
695,3.091952715060523
696,2.677969605153768
697,1.9714668753895577
698,0.9874011308695626
699,2.9853162459999565
700,3.5858865135061446
701,11.045084853127289
702,5.575004470765202
703,0.5058215604527531
704,4.60628662569921
705,3.59976377364969
706,3.25565154679612
707,1.6953373285397
708,1.366182804197533
709,4.617590015560902
710,1.2047221254223106
711,0.28863114221106234
712,6.056507588384909
713,2.2676823664750576
714,0.1253152019187634
715,2.5806154986104275
716,1.1434105989773744
717,6.490843620204363
718,2.893352000357373
719,3.299377494047608
720,1.2383647138676206
721,0.24829191350824711
722,3.7850949855193594
723,5.366940539161822
724,2.2456513880506495
725,1.5298002049084
726,1.9749583065641545
727,1.7414215810565346
728,3.611069734418839
729,8.106015265310246
730,6.2137554950025455
731,0.10993392494773455
732,1.911528968254556
733,0.30214645352170755
734,3.375440658844125
735,2.889776361383005
736,7.42315189625338
737,3.7214860964126038
738,2.3580636750280166
739,0.5820196514998631
740,1.1398437302757838
741,1.3180786376396507
742,3.5456861207278845
743,1.525017974781131
744,5.089283211895249
745,3.330826142088506
746,0.11697171402791816
747,0.06900186367730941
748,2.351901859301085
749,1.61909998395272
750,0.21050563675942652
751,0.33174003802015084
752,8.884420326038645
753,3.878968668148333
754,1.5616453083703818
755,0.7694745342720863
756,1.2818551763725465
757,3.0047640433539273
758,3.7894537837692313
759,0.9157757297325881
760,5.702803130435759
761,2.9287947937926226
762,2.855265922898301
763,2.0534760286150253
