,frequency,measured loss,prediction loss,prediction error
0,100000.0,26.306,24.884136,5.4050931348317075
1,100000.0,38.823,38.51271,0.7992412454239443
2,100000.0,60.324,55.71566,7.63931421123459
3,100000.0,83.138,77.00374,7.378408906492449
4,100000.0,98.536,102.433014,3.954913854850637
5,100000.0,142.19,132.12697,7.077172527048973
6,150000.0,37.277,38.91171,4.385301477552132
7,150000.0,62.231,61.91453,0.5085380151955292
8,150000.0,90.186,90.42195,0.26162740774100796
9,150000.0,124.49,125.38016,0.7150433534445579
10,150000.0,162.22,167.02914,2.964581609610021
11,150000.0,212.04,215.88284,1.8123198536022134
12,200000.0,59.005,57.37093,2.7693759545503336
13,200000.0,91.933,93.37667,1.5703510571854902
14,200000.0,134.1,139.43776,3.9804320651857332
15,200000.0,183.92,193.54639,5.234007567828411
16,200000.0,242.18,258.4612,6.722773209267123
17,200000.0,307.42,333.8298,8.59078897495181
18,250000.0,80.537,83.1324,3.222618812092959
19,250000.0,126.53,135.92688,7.426602294169366
20,250000.0,183.5,199.1596,8.533845740378066
21,250000.0,253.59,273.3216,7.7809039150917805
22,250000.0,333.42,360.81104,8.21517460147861
23,250000.0,431.22,462.3993,7.230483741984943
24,300000.0,104.45,118.048965,13.019593541504605
25,300000.0,165.29,184.26602,11.480441483765283
26,300000.0,239.49,266.32547,11.205256992234796
27,300000.0,329.69,366.41904,11.14047646735854
28,300000.0,432.18,484.63422,12.13712256666059
29,300000.0,589.15,621.7616,5.535363944613006
30,350000.0,134.7,148.5794,10.303939672072207
31,350000.0,209.87,229.59174,9.39712004566815
32,350000.0,306.88,331.54227,8.036452960669685
33,350000.0,421.68,455.72415,8.073456557419872
34,350000.0,551.9,603.18884,9.293140564130734
35,350000.0,707.97,774.7281,9.429508083521366
36,400000.0,169.15,185.09691,9.427672816633716
37,400000.0,264.47,284.4584,7.557909986393767
38,400000.0,401.6,409.3598,1.9322216748241352
39,400000.0,543.78,561.08936,3.18315411908309
40,400000.0,731.51,740.6013,1.2428153216463218
41,400000.0,936.68,947.2674,1.1303107805794188
42,450000.0,207.46,227.19257,9.511503864826347
43,450000.0,334.48,344.80103,3.085692833839088
44,450000.0,496.93,495.80704,0.22598004678413092
45,450000.0,686.17,678.21606,1.1591785631658276
46,450000.0,913.32,894.0823,2.106350962354383
47,450000.0,1142.6,1144.3511,0.15325347617277185
48,500000.0,265.83,272.5258,2.518823064934598
49,500000.0,416.83,414.8717,0.4698068513392712
50,500000.0,609.17,590.156,3.1212952280356814
51,500000.0,819.81,805.58545,1.7351033509288671
52,500000.0,1081.8,1061.9915,1.8310727419000699
53,500000.0,1416.3,1359.7938,3.989703929803887
