,prediction error
0,1.5158816149932681
1,6.700812375803397
2,5.982420914047316
3,5.519704984201688
4,4.4085767790143775
5,3.357903753371221
6,3.0662413484778903
7,2.0723486365136
8,2.258494056940707
9,2.8120713259681773
10,1.4733070306143337
11,6.150647558593429
12,3.143225248208986
13,11.4289219330731
14,1.5284481145045834
15,1.3878099505790367
16,3.5673086215777
17,2.677679581919936
18,2.277825818517957
19,3.5028232894879587
20,0.8705322869925103
21,5.443131454229617
22,0.3743352436792001
23,1.5612954790754803
24,1.592927885265972
25,3.200666279176349
26,2.4058601202960666
27,3.881043433129173
28,8.274636325933834
29,1.8052519594840601
30,1.470720750123228
31,2.833375529434136
32,6.6131824520234055
33,0.07825572060384373
34,2.606774014024265
35,0.46104886051932725
36,6.1454182549946434
37,2.411435163267925
38,2.4346668869870203
39,2.1485771541684966
40,6.7298324928406315
41,7.563467482436159
42,7.385327040543336
43,2.3878629043147828
44,2.1830537266277785
45,0.9801191301880843
46,0.07882292599092745
47,1.9590303728154237
48,2.89693381855927
49,4.605663776321955
50,4.375407390108601
51,7.570710923282605
52,1.3464289316688232
53,3.9593247515068035
54,0.7942801412718739
55,2.5764279996279047
56,1.9493698978545286
57,2.2830139391709885
58,2.61183356359806
59,10.113285705670965
60,3.214127634174021
61,6.632275174605896
62,1.3660353930712401
63,2.9515772897566603
64,7.197215024858657
65,0.5560889279893811
66,1.1435754109748169
67,3.2279617787012382
68,7.0838898166088855
69,3.321286154745399
70,0.24311241305009965
71,4.543261489124736
72,7.055869265572102
73,2.633250885813313
74,0.8750748434092845
75,0.6652828610025348
76,4.225808415721402
77,1.4652800785802458
78,2.7772090980037207
79,0.9318089713951676
80,0.8718943626494051
81,4.107353245500725
82,0.17596391893205243
83,0.8887888301553397
84,2.3542366374271326
85,3.290755685507396
86,4.471090560763586
87,6.973374404691769
88,2.0890802305723803
89,4.177399943025706
90,2.5597073428071275
91,0.9527288398137348
92,2.7905372529297003
93,5.194526546830856
94,1.0784727332211541
95,2.774265130071421
96,5.314525755630238
97,3.16570725362446
98,0.6557008557347944
99,1.0783453075912612
100,11.054499305353024
101,4.8826380343657725
102,2.038621184861939
103,2.0175709042299905
104,5.384238054201441
105,3.2428940421869736
106,1.6767557323914466
107,0.9789187070963112
108,1.741810904951691
109,6.064613558633148
110,2.952610636292403
111,0.9148142777107352
112,4.53688837890934
113,3.8197514262869126
114,2.5990595342459177
115,2.7786721291154506
116,1.7128050410404545
117,6.957089191625605
118,3.901293269335399
119,2.2926389220578467
120,2.2254860256812785
121,5.579414703832203
122,3.796370072103712
123,2.9639988415237717
124,3.3259694133259794
125,1.3622382890725253
126,0.45319980296075496
127,3.009459007382067
128,0.7591367005180233
129,7.461914003085438
130,0.6445918217677562
131,3.9029041472243553
132,4.098130647181838
133,1.28506259392465
134,0.7887794409413179
135,4.365196465547893
136,2.4838248188514167
137,7.367106803145799
138,3.1575222381769006
139,1.8798587602328156
140,2.4919964893462128
141,10.697727079157298
142,1.0574467616885048
143,1.5945796083998525
144,6.546304091582442
145,6.402530954820007
146,2.705172483221005
147,0.7613710271676767
148,1.0923259853131675
149,1.7429237122212344
150,6.684011470643862
151,3.297895501830583
152,2.272051018266911
153,1.2136834147141016
154,3.4978269560832813
155,0.03771055615502119
156,2.7516738097311304
157,2.1015081416393246
158,2.493388066511455
159,6.063318450466445
160,0.1289150525152877
161,4.530001589477281
162,1.9107229957431713
163,2.517294473367663
164,3.3516472539910662
165,2.317335687406761
166,0.7766757732362913
167,5.5828637068674505
168,2.4357614330397324
169,5.0477068294323795
170,4.652132094308229
171,3.0856919995739225
172,1.0057277438617103
173,0.5023154084437127
174,1.7721192115098088
175,1.7944850721655703
176,4.232786942973704
177,3.630626606369755
178,4.211772496276986
179,4.584890411611884
180,3.024816457265194
181,8.245223744550092
182,3.681155360388943
183,8.029905546830461
184,1.6680055597615455
185,2.540558541876081
186,4.241021311032438
187,3.0229189738343507
188,0.06191075102507349
189,1.1987292560184375
190,2.3412764092140206
191,2.160814415649058
192,1.2831635406126187
193,3.2771235277259354
194,3.9560955395889206
195,2.981837490331647
196,1.8966473614159882
197,3.354234382406886
198,0.6481875688924658
199,4.355355792842403
200,0.6522415060451973
201,6.06890739274387
202,0.505490260730651
203,0.6662462371726371
204,4.3349148150396895
205,1.9619502475220951
206,0.947434356192186
207,2.5455278855807526
208,3.0913982572042835
209,6.192969429294317
210,2.7270793721488755
211,2.996176210904158
212,0.11609338397935458
213,5.953416215858045
214,3.1738427453872102
215,1.9073934784605053
216,3.1578704231673993
217,3.063116149657568
218,10.355011876907843
219,0.7812702543862945
220,1.3692644011511617
221,0.6782873746253105
222,3.795096301584591
223,3.852770061161443
224,1.5577289826353942
225,1.7676285924878061
226,1.8128166790861655
227,0.2941156858420554
228,3.353283486726424
229,2.9059342990932384
230,3.3756384354987814
231,2.6117543017359326
232,3.628875297792193
233,4.694354690722317
234,2.8507205429468487
235,4.417077444688347
236,1.6186363936257366
237,4.012826009914404
238,0.8707985048803064
239,3.1848331260990137
240,0.37312465816531526
241,5.302342849590671
242,5.895349405806776
243,4.678880883110071
244,0.8907501188902188
245,2.992948065548989
246,2.9539291236055982
247,5.412454317666863
248,1.4306107166371047
249,2.9961021261757397
250,3.9161667624473027
251,3.7644725190938897
252,1.603937168168266
253,3.8261296172832577
254,2.5469463905233334
255,8.346863939376036
256,5.2118859531723025
257,4.981266823976176
258,4.383806955457
259,4.073518014107575
260,2.691738645762979
261,4.649041445779542
262,2.6729864601744047
263,6.91614167167908
264,1.3573464740948809
265,0.9082621394378619
266,3.255377572607404
267,0.8358870596669722
268,2.9330807007676607
269,1.923657632929831
270,4.394329767531016
271,2.2185605107577673
272,4.197603985352769
273,1.1838451444601918
274,1.0364553447157465
275,3.9553211180841545
276,5.729470494501066
277,0.3801186050012295
278,1.6518783913676756
279,4.670482926863744
280,1.7837203410409166
281,1.9099343191454234
282,1.1634347054079723
283,5.805066558542563
284,6.054929614764465
285,3.495332494216337
286,3.1783455716043667
287,1.4505671099182422
288,2.4279405153758864
289,0.6948352180333125
290,1.4646253932968911
291,2.6566304914302132
292,4.107767859281807
293,3.1009971213533736
294,1.7059175416935062
295,3.6654026680100302
296,2.57800375731863
297,1.819200200458921
298,1.7350773968178408
299,0.9486767038039944
300,1.69991008025767
301,0.1401679181229744
302,1.4261226045168434
303,2.935147906828711
304,4.1705070981170485
305,1.777616682306102
306,3.8967960008074196
307,0.6081025278765021
308,0.7466810258933959
309,3.084279935561545
310,5.12184564629151
311,3.3547145236690974
312,2.9969888765267196
313,0.24046459876853163
314,2.0054458793462024
315,1.1619065828988624
316,0.7124983565696161
317,5.288403835180258
318,0.852407854926748
319,3.093615597676833
320,1.16331048199941
321,4.343764101022244
322,1.972102945547788
323,1.5211389896609864
324,0.05248105352766063
325,4.538717398262402
326,6.029864322218415
327,3.0392799000082644
328,2.999662531770211
329,0.3298718705286424
330,2.7897961294288285
331,1.03977827258439
332,2.9902140692105315
333,1.1270554753516406
334,2.3141895970048028
335,1.8849038795414224
336,3.431420807606218
337,0.8175641987800694
338,3.6059554067537922
339,4.757722674042744
340,3.110727510080271
341,14.827478149568847
342,0.18436228736331112
343,4.1755820828615535
344,2.547269678005481
345,2.9131165074882257
346,0.06316545196769344
347,3.0625190807183262
348,2.252064230955039
349,3.8637589111299193
350,1.9558130749104634
351,0.0985513476496829
352,2.0762283329994418
353,2.9431847691235045
354,0.43642456678334796
355,8.29754600296937
356,0.8209828718885017
357,3.572154416509001
358,3.132385001180259
359,1.629150999857157
360,7.56153589428695
361,3.7544404979428205
362,2.3196376771458977
363,2.031952414710236
364,1.5494018656224837
365,2.819269376372439
366,0.3507949775052134
367,6.924408840677806
368,3.565279481262493
369,1.242333481527689
370,0.7968206304344325
371,2.198759392339043
372,0.46910473272255215
373,7.563439814774422
374,5.31052736626557
375,4.521572888116108
376,0.6674965650200384
377,3.817390310621791
378,3.5517046075319834
379,5.290265298100435
380,3.230673874382803
381,1.3127090480772454
382,3.595916011873304
383,3.1669869619813182
384,2.0513186566988115
385,5.233936294968286
386,5.861252434418552
387,2.3887407129131613
388,1.9039814443915193
389,2.2367932901930088
390,1.7945711487434404
391,8.605035282325922
392,2.5877602973991634
393,1.1455156511992162
394,0.3488726487766104
395,3.6032382379101553
396,0.8909883036091355
397,3.7551886372438057
398,3.0678007976133226
399,2.9925622849739706
400,0.3537145077805404
401,2.720861526282848
402,1.6456893912062216
403,1.9613804048847006
404,0.2675189614032774
405,4.034240015086845
406,1.3663303092296148
407,9.44791566709575
408,1.6159438714501893
409,1.3820891739155257
410,3.1660501978315394
411,1.1480141717154773
412,2.9649021200164145
413,1.5376628183475751
414,1.1454259446781148
415,2.9937004453164753
416,0.4044144473011602
417,2.7925059310014806
418,4.777968218488497
419,5.103090143251416
420,0.06567225948295113
421,0.2145624359177791
422,3.364550454182021
423,10.440066067317796
424,1.6094142915107452
425,0.27388211745140767
426,0.5968130280042278
427,1.2978569984077932
428,3.932831596726966
429,3.0967317848150513
430,2.3236938409046473
431,4.030724604673242
432,2.2541048905112877
433,1.6069852000675942
434,3.173385872452751
435,1.1693781333299311
436,1.5403491473779702
437,3.688510828740795
438,0.3340291565871568
439,5.6458810258631615
440,2.5681363912227786
441,1.7805310359481612
442,1.061006336703171
443,4.31996801313313
444,3.4596246601783895
445,2.0814769720800474
446,2.7684084048766016
447,13.65768524634303
448,1.8740410404978463
449,0.2901211641304315
450,0.006966660636354012
451,1.147958356444373
452,3.2932167135299375
453,4.337861915163926
454,7.382255091123156
455,2.9990608936026573
456,0.7986986623837039
457,1.9113651000348624
458,4.504028207856852
459,1.933085549700088
460,3.3424188747517545
461,3.146233988899297
462,3.547734419796222
463,1.5097729457909426
464,4.758644912625721
465,2.5043957761102775
466,0.41828804946395304
467,4.9560269740699106
468,1.1939304753745195
469,4.161186116554923
470,2.8276195874692025
471,0.61264365124008
472,2.520493439491152
473,0.34309661581372314
474,3.894969210438222
475,7.743763906080755
476,9.347122666374421
477,5.201548996926547
478,1.438926893249555
479,1.9511819790276212
480,3.3778676303430824
481,6.623165393885098
482,5.599936505997969
483,1.520489030606417
484,2.5137974400281595
485,4.908784638703742
486,3.4752390597148235
487,2.894875860506058
488,1.6277824347115661
489,0.8181893081548702
490,2.4345116929587225
491,2.4840048369820384
492,2.97965242442881
493,4.413455702396946
494,4.1910617779553405
495,3.012794019379561
496,0.28908842947491836
497,3.531101122070567
498,3.6327957648057945
499,5.0749684592755955
500,4.30127333616588
501,0.38540239946093713
502,4.368604824215425
503,3.167240128471131
504,1.3955380557998396
505,4.156719979755261
506,0.4678754174560296
507,1.677688108384884
508,1.9190689419469324
509,4.3987812389316145
510,4.025348071861848
511,3.2480972284762237
512,1.8216641516420395
513,3.526161798667664
514,2.0332037432035768
515,2.304531280473835
516,2.4160618629159822
517,0.17541875135890372
518,7.562123897821741
519,0.17818989460367013
520,4.387228664654415
521,1.8082534585627597
522,8.676518171846716
523,1.4206257737512653
524,2.0105923788214506
525,3.7799253280816405
526,2.8730848770177335
527,1.8426486665312978
528,2.9184193892896944
529,4.933667113184302
530,4.5201264512259955
531,5.9643111857553475
532,8.396534615075996
533,5.5754227996059
534,1.8476638244805097
535,3.460516964349807
536,1.3472388166187135
537,0.9145320903768412
538,0.4276378573128626
539,1.9750817157002645
540,3.96796141736668
541,3.565714236335054
542,1.9005327217178698
543,3.327735533598273
544,0.4563899630760334
545,0.9203858719990795
546,7.901307077737869
547,8.078303539432358
548,2.4822809901004392
549,1.4664864518312517
550,0.8670507887870563
551,11.724502606841124
552,0.4193985913316799
553,2.489965694256188
554,3.9551452052843876
555,0.8294626291016571
556,2.835866152936582
557,1.5369474416107458
558,3.9227677426579803
559,1.0295634243113299
560,3.4193856066379915
561,1.070173507507942
562,7.096559444609365
563,1.2296177843470373
564,0.42818948791092887
565,4.131651681336025
566,2.483042127561179
567,3.326566320668969
568,2.6216182689219063
569,5.401114055787413
570,3.9893889202815815
571,4.577921789859296
572,0.4714359672061239
573,1.9029811841678912
574,2.8902000593908683
575,3.872667860520935
576,5.250948001939011
577,3.646395078208654
578,2.562832956550514
579,0.751238337279588
580,4.553806823646826
581,3.318730223614866
582,5.263930570959434
583,6.4569579279906755
584,3.636576380384242
585,4.9164445488712785
586,4.09048654108637
587,6.369935846437181
588,2.031037704782923
589,1.9927643554171222
590,3.7016658959232163
591,0.5556193782190231
592,6.040625188717566
593,1.7638259497594324
594,5.537674573043661
595,4.783119098137998
596,2.957353174312967
597,0.5449011172365235
598,2.5378136662431925
599,1.9244853367021661
600,2.403622975267435
601,5.6842678084244955
602,1.8811271810872345
603,2.952484854216619
604,3.9862941616520846
605,6.712516791998066
606,1.0485680642301285
607,3.708812530378024
608,5.489275923757556
609,6.986586172432666
610,1.4036989269521616
611,10.582551006337233
612,0.3623608272408437
613,13.460332305588231
614,0.5040353987762363
615,4.371611288594796
616,0.6477219398127043
617,5.098063408600257
618,3.075754027848665
619,4.873438840606995
620,2.0262920070358947
621,0.5801465992424898
622,1.5093566323529972
623,3.161727678389005
624,3.614923112863849
625,1.0967181215224835
626,1.8553137887350326
627,2.8711324645840444
628,5.515265541523555
629,2.8774020334374906
630,2.11366943374678
631,4.205322067406102
632,4.39704619401699
633,3.2663772424018505
634,0.2641842948704996
635,0.4376629815505538
636,1.3715058809154905
637,3.3701436240970297
638,2.498675378674371
639,0.8056333869039359
640,0.23882197503550046
641,5.558801743113053
642,5.195992828703956
643,2.3786143878489043
644,3.281623632921688
645,1.0004202898840866
646,6.887521357333151
647,6.883573323742354
648,13.399394533669968
649,2.3366217435551007
650,3.740808851296765
651,2.9873892354041303
652,3.021770935950728
653,2.348804130221578
654,0.34706160708640477
655,4.320337530900013
656,3.1500878083519943
657,4.100850935291172
658,2.0247789955894957
659,2.7518174601174517
660,0.3685289312590836
661,1.6233384794524077
662,4.151960013718172
663,4.495486779702512
664,1.629209703465856
665,1.1507306000688742
666,3.903725902394296
667,2.279739244772635
668,3.4535578862964584
669,1.785101702486176
670,1.311075243212439
671,2.6465828638686775
672,3.6832498103707367
673,2.233188591563902
674,3.798439699269932
675,2.890711266243142
676,6.8640037218801435
677,2.9356070968051613
678,1.8620129440949023
679,0.20714771597443174
680,8.0589968951743
681,1.453043869476032
682,2.7422634754068618
683,4.15094957958619
684,0.1291308687377778
685,0.685925245036478
686,0.6670271568776339
687,4.450589413231538
688,4.953686653296881
689,1.3898391421375555
690,2.0388456364620637
691,4.159655912566864
692,2.3006215730360946
693,0.7170835037008118
694,1.6604175738952336
695,6.966524365067408
696,2.251515390310129
697,4.571436988056349
698,1.547343850833638
699,4.1290159952338685
700,2.222594988607281
701,4.266891239862437
702,0.9751834526131524
703,2.2038015287963693
704,3.1844536406524657
705,0.3349720874925596
706,3.8963850144239296
707,3.973852321836585
708,3.0399619675692913
709,1.015964894729177
710,0.8411055615275865
711,3.3122849570511286
712,5.0528776674365705
713,3.5807221464603485
714,3.042124779964855
715,4.141389349924157
716,2.422849265806049
717,4.317441586764916
718,8.248762832120429
719,0.18468738838971432
720,0.6909332168724388
721,4.312492411773706
722,6.685962372142068
723,4.394202923139363
724,1.0172536938448835
725,2.678769650422156
726,1.7338974398758016
727,6.237449824471525
728,2.2799735166594073
729,4.195220541816061
730,4.639851028240851
731,4.465539874031977
732,2.839983149500897
733,6.8462081008690925
734,3.6771312108476875
735,7.452708882399656
736,0.984435789078707
737,1.759478610729402
738,3.8094269228139117
739,2.0780162327192784
740,1.2367387156606235
741,3.040145654996685
742,3.221398971537281
743,1.1204925589603678
744,2.2922494489427137
745,3.1073127777711
746,0.9081967907135877
747,0.491315156404239
748,5.09196854569219
749,1.679171501829852
750,2.6004007979649364
751,6.353296994110567
752,1.3517221177308214
753,2.7493909602556914
754,5.183391724547398
755,6.186602204124144
