dw (mm),D (mm),F (mm),dgap1 (mm),dgap2 (mm),fs (Hz),Vpri/mf.ICoil_p1 (Ω),#NAME?,Vpri/mf3.ICoil_5 (惟),#NAME?
5,5,1,0.25,0.25,5.00E+05,0.19862+5.6038i,0.084986+2.7548i,0.052442453003773544+1.3905515075413422i,0.08498737987972524+2.7548390308196957i
5,5,1,0.25,0.25,1.00E+06,0.31095+11.067i,0.13828+5.4447i,0.08066274993971408+2.74472820197011i,0.13830666293331728+5.444728223666246i
5,5,1,0.25,0.5,5.00E+05,0.19825+5.6066i,0.084799+2.7563i,0.052339478140674016+1.3913317419793294i,0.08477925438435546+2.7564296655359546i
5,5,1,0.25,0.5,1.00E+06,0.30953+11.073i,0.13758+5.4478i,0.08029658091591879+2.7463850870059408i,0.13757367757649552+5.448107499627575i
5,5,1,0.25,0.75,5.00E+05,0.19843+5.6037i,0.084880+2.7548i,0.05237247531711317+1.3905786963978413i,0.0848436652990117+2.754898923879179i
5,5,1,0.25,0.75,1.00E+06,0.31031+11.067i,0.13795+5.4448i,0.08047847012622741+2.7448704838823357i,0.13792734027329265+5.445027346586357i
5,5,1,0.25,1,5.00E+05,0.19846+5.6057i,0.084899+2.7558i,0.05246406006163724+1.3908275040645992i,0.08501717094717574+2.755387221951528i
5,5,1,0.25,1,1.00E+06,0.31100+11.071i,0.13830+5.4468i,0.08081051228265293+2.7452510032197495i,0.13855386607180462+5.445784652795285i
5,5,1,0.5,0.25,5.00E+05,0.14583+3.1755i,0.059377+1.5447i,0.0389431561933597+0.7817579682116362i,0.059335650682269064+1.5449399651583806i
5,5,1,0.5,0.25,1.00E+06,0.22014+6.2568i,0.094028+3.0472i,0.057328489043310484+1.539029767104002i,0.09396071197638793+3.047669730754247i
5,5,1,0.5,0.5,5.00E+05,0.14585+3.1747i,0.059388+1.5444i,0.03896919779683638+0.781434613647521i,0.0593891438734206+1.5442785748937449i
5,5,1,0.5,0.5,1.00E+06,0.22003+6.2554i,0.093959+3.0465i,0.05736649982092554+1.5383760556202424i,0.094047672992572+3.0463260078930183i
5,5,1,0.5,0.75,5.00E+05,0.14580+3.1753i,0.059364+1.5446i,0.038960466350250196+0.7815914691299637i,0.059362603064255226+1.5446109574691111i
5,5,1,0.5,0.75,1.00E+06,0.22001+6.2564i,0.093944+3.0470i,0.05731228132992392+1.5386824675900959i,0.09391718826805617+3.0469879074152497i
5,5,1,0.5,1,5.00E+05,0.14580+3.1751i,0.059358+1.5446i,0.038981024195460116+0.781587489623551i,0.05940188968275398+1.5446098371220507i
5,5,1,0.5,1,1.00E+06,0.21983+6.2563i,0.093846+3.0469i,0.057363523323414725+1.538674277632814i,0.09400648498250713+3.0469871257772994i
5,5,1,0.75,0.25,5.00E+05,0.11839+2.3445i,0.046208+1.1312i,0.031822539916478924+0.572986999630278i,0.04607790358850296+1.131309757018084i
5,5,1,0.75,0.25,1.00E+06,0.17604+4.6166i,0.072707+2.2308i,0.045737089549745126+1.1271841346237264i,0.0723459643676261+2.231114660327144i
5,5,1,0.75,0.5,5.00E+05,0.11852+2.3431i,0.046265+1.1306i,0.03186471280835531+0.5727232329031068i,0.04615073712130756+1.1307663393756748i
5,5,1,0.75,0.5,1.00E+06,0.17629+4.6136i,0.072812+2.2294i,0.04582969103839475+1.1265817373368718i,0.07250820962884054+2.229895153407642i
5,5,1,0.75,0.75,5.00E+05,0.11824+2.3435i,0.046126+1.1308i,0.03186759670367769+0.5727822803412251i,0.04615607022187323+1.1308931655868921i
5,5,1,0.75,0.75,1.00E+06,0.17554+4.6147i,0.072439+2.2300i,0.04581685694918965+1.1266962198470014i,0.07248455431329649+2.230141915871481i
5,5,1,0.75,1,5.00E+05,0.11809+2.3442i,0.046049+1.1311i,0.03185568783372277+0.5729324777834848i,0.04612776727180578+1.131212931150214i
5,5,1,0.75,1,1.00E+06,0.17510+4.6163i,0.072215+2.2307i,0.045802635972367486+1.1270349250045235i,0.07244050524383436+2.2308600024537104i
5,5,1,1,0.25,5.00E+05,0.10061+1.9276i,0.037694+0.92397i,0.027289409166522345+0.4681323058239599i,0.03770628949769773+0.9239184602656395i
5,5,1,1,0.25,1.00E+06,0.14788+3.7962i,0.059093+1.8228i,0.038599970938307124+0.9208703509499693i,0.05911473001345611+1.8226785256242353i
5,5,1,1,0.5,5.00E+05,0.10074+1.9273i,0.037756+0.92381i,0.027310627679677374+0.46809300442047064i,0.03774595480861006+0.9238460794692367i
5,5,1,1,0.5,1.00E+06,0.14832+3.7954i,0.059296+1.8225i,0.03865145081532373+0.9207893394733272i,0.05921366860401878+1.8225287747902215i
5,5,1,1,0.75,5.00E+05,0.10087+1.9273i,0.037825+0.92383i,0.027348843725760623+0.4680974753332047i,0.03782151733658199+0.9238536978941907i
5,5,1,1,0.75,1.00E+06,0.14843+3.7954i,0.059361+1.8224i,0.03874684842691928+0.9207573918111617i,0.05940295919912241+1.8224638734659924i
5,5,1,1,1,5.00E+05,0.10079+1.9269i,0.037785+0.92363i,0.027336771170307632+0.46796619071175427i,0.037796896832682295+0.9235639493104653i
5,5,1,1,1,1.00E+06,0.14840+3.7947i,0.059359+1.8221i,0.03874353853144316+0.920501958658775i,0.0593822467621405+1.8219016415649547i
5,5,2,0.25,0.25,5.00E+05,0.20800+5.7453i,0.084306+2.7544i,0.055605420728038736+1.4255917059176797i,0.08453760529578035+2.7536032450570858i
5,5,2,0.25,0.25,1.00E+06,0.32496+11.346i,0.13735+5.4449i,0.08531323953337815+2.8134821346702967i,0.1382641035383838+5.4429397848031i
5,5,2,0.25,0.5,5.00E+05,0.20875+5.7451i,0.084677+2.7543i,0.05567389686836439+1.4257290293915161i,0.08464670296204238+2.7539143972572506i
5,5,2,0.25,0.5,1.00E+06,0.32728+11.344i,0.13852+5.4441i,0.08550393199051572+2.8136492226124545i,0.13856805162736607+5.443385333050105i
5,5,2,0.25,0.75,5.00E+05,0.20895+5.7461i,0.084774+2.7548i,0.05570099818266173+1.4260730858095816i,0.08470847567134336+2.7546033183141354i
5,5,2,0.25,0.75,1.00E+06,0.32763+11.346i,0.13867+5.4450i,0.08554795863554897+2.814321245887901i,0.13867865065149884+5.444716126258005i
5,5,2,0.25,1,5.00E+05,0.20887+5.7459i,0.084736+2.7547i,0.05563343056538048+1.426059499031826i,0.0845763003912839+2.7545531563773733i
5,5,2,0.25,1,1.00E+06,0.32786+11.346i,0.13877+5.4449i,0.08540219638329284+2.8143497780635363i,0.13837678260372197+5.4447282718184615i
5,5,2,0.5,0.25,5.00E+05,0.15535+3.3025i,0.059260+1.5444i,0.04216626173652109+0.812574264735598i,0.05936602816061035+1.5436401340633437i
5,5,2,0.5,0.25,1.00E+06,0.23388+6.5057i,0.093758+3.0467i,0.06176435350124642+1.5991286325734497i,0.09410128165922399+3.045109147925705i
5,5,2,0.5,0.5,5.00E+05,0.15591+3.3002i,0.059538+1.5432i,0.04205696389124027+0.8129103929225726i,0.05916879477998419+1.544323826227217i
5,5,2,0.5,0.5,1.00E+06,0.23499+6.5006i,0.094322+3.0441i,0.061513069005373136+1.5998984606075157i,0.0936518869674542+3.0466457406916247i
5,5,2,0.5,0.75,5.00E+05,0.15542+3.3020i,0.059296+1.5441i,0.042096396109071364+0.8129643854238445i,0.059219118049047746+1.544452424340062i
5,5,2,0.5,0.75,1.00E+06,0.23394+6.5047i,0.093800+3.0462i,0.061655561991741915+1.5999769417327712i,0.09385265979999462+3.0468786229684057i
5,5,2,0.5,1,5.00E+05,0.15546+3.3023i,0.059293+1.5443i,0.04211816892701115+0.8126974296609735i,0.05924689464015999+1.5439272805888178i
5,5,2,0.5,1,1.00E+06,0.23436+6.5053i,0.093944+3.0465i,0.06170407536792671+1.5994339867231013i,0.09390917907310915+3.045826965551185i
5,5,2,0.75,0.25,5.00E+05,0.12663+2.4614i,0.045859+1.1308i,0.03475909525289803+0.6013756989276305i,0.04597362246674519+1.1307468236563731i
5,5,2,0.75,0.25,1.00E+06,0.18703+4.8463i,0.071731+2.2304i,0.04974864559268354+1.1826298565231586i,0.07228554844951722+2.2301338407353124i
5,5,2,0.75,0.5,5.00E+05,0.12668+2.4613i,0.045889+1.1308i,0.03479133306576135+0.6012748768826309i,0.04604039877278939+1.1305358917080692i
5,5,2,0.75,0.5,1.00E+06,0.18737+4.8462i,0.071904+2.2303i,0.04985607183074383+1.1823999360198645i,0.07251270363241336+2.229652087542685i
5,5,2,0.75,0.75,5.00E+05,0.12705+2.4614i,0.046080+1.1308i,0.034736866587225274+0.6012420071722582i,0.04593136802072924+1.1304601652498028i
5,5,2,0.75,0.75,1.00E+06,0.18835+4.8459i,0.072382+2.2301i,0.04964986287232143+1.1823851620305859i,0.07210969592134646+2.22959725182491i
5,5,2,0.75,1,5.00E+05,0.12669+2.4622i,0.045894+1.1312i,0.034694868775029634+0.6014617242090591i,0.04583947565155101+1.1309306883050034i
5,5,2,0.75,1,1.00E+06,0.18733+4.8478i,0.071870+2.2311i,0.04954157698625824+1.1828685093394231i,0.07186905915447787+2.2306415912807314i
5,5,2,1,0.25,5.00E+05,0.10919+2.0372i,0.037887+0.92325i,0.030126197893743455+0.4945176413354341i,0.03778558670215098+0.9232099273905479i
5,5,2,1,0.25,1.00E+06,0.16054+4.0106i,0.059522+1.8212i,0.042486920011255376+0.9723723583271924i,0.05936872427898231+1.8212827841439498i
5,5,2,1,0.5,5.00E+05,0.10904+2.0373i,0.037813+0.92334i,0.030103258462252713+0.4946013419379471i,0.0377543024203614+0.9233658608882694i
5,5,2,1,0.5,1.00E+06,0.16016+4.0111i,0.059342+1.8214i,0.04244563747662163+0.9725501887644218i,0.05930767129431593+1.821597426153857i
5,5,2,1,0.75,5.00E+05,0.10933+2.0369i,0.037953+0.92316i,0.030141958693272974+0.49449491277751256i,0.037824092367098966+0.9231538222416685i
5,5,2,1,0.75,1.00E+06,0.16081+4.0100i,0.059642+1.8209i,0.04254208225972628+0.9722976052296498i,0.059498552066990784+1.8211060596076862i
5,5,2,1,1,5.00E+05,0.10916+2.0374i,0.037870+0.92335i,0.03012440808589867+0.49467483746361435i,0.03780854864171401+0.9235221557241627i
5,5,2,1,1,1.00E+06,0.16025+4.0110i,0.059372+1.8214i,0.04252240699509754+0.9726851590285468i,0.05950025105047669+1.821868913964427i
5,5,3,0.25,0.25,5.00E+05,0.22116+5.9459i,0.085063+2.7524i,0.05945928667045987+1.4763511655315837i,0.0850635820637118+2.75235640899255i
5,5,3,0.25,0.25,1.00E+06,0.34618+11.739i,0.13945+5.4402i,0.09096879761210253+2.9129807409638353i,0.1394641039432461+5.440171767375428i
5,5,3,0.25,0.5,5.00E+05,0.22101+5.9463i,0.084972+2.7526i,0.05952654657485104+1.4764023158308404i,0.085117883531508+2.752515957033003i
5,5,3,0.25,0.5,1.00E+06,0.34561+11.740i,0.13908+5.4406i,0.09114870916959454+2.9129091569953744i,0.13961955371928667+5.440259920772527i
5,5,3,0.25,0.75,5.00E+05,0.22163+5.9464i,0.085273+2.7526i,0.05959718004843256+1.4764570385424418i,0.08527619653476087+2.7526455824623657i
5,5,3,0.25,0.75,1.00E+06,0.34792+11.739i,0.14021+5.4404i,0.09142172681171178+2.9129483162462266i,0.14021203021540862+5.440350124542907i
5,5,3,0.25,1,5.00E+05,0.22128+5.9461i,0.085106+2.7524i,0.05954168451742611+1.4763850369404483i,0.08519114720179427+2.752465368905201i
5,5,3,0.25,1,1.00E+06,0.34693+11.739i,0.13967+5.4401i,0.09135568556929967+2.912912906080097i,0.1401161136022581+5.440176388727197i
5,5,3,0.5,0.25,5.00E+05,0.16623+3.4841i,0.059396+1.5436i,0.04562894287723168+0.8580929528031781i,0.05948009244188959+1.5437609974151634i
5,5,3,0.5,0.25,1.00E+06,0.24994+6.8623i,0.094058+3.0449i,0.0665650431118909+1.688308827472621i,0.0941981817385831+3.0451834593218976i
5,5,3,0.5,0.5,5.00E+05,0.16632+3.4840i,0.059449+1.5435i,0.04557634363935076+0.8579945688009916i,0.05944927676784994+1.5435106539718821i
5,5,3,0.5,0.5,1.00E+06,0.24998+6.8619i,0.094116+3.0447i,0.06645273878229863+1.6881969978829188i,0.09411587698045003+3.04473916593021i
5,5,3,0.5,0.75,5.00E+05,0.16618+3.4850i,0.059396+1.5440i,0.04556563182309254+0.8582096186754375i,0.05936948227997229+1.5439909641651284i
5,5,3,0.5,0.75,1.00E+06,0.25007+6.8640i,0.094195+3.0457i,0.06653313913868505+1.688600474681524i,0.09413717903712442+3.045735505312899i
5,5,3,0.5,1,5.00E+05,0.16640+3.4848i,0.059457+1.5439i,0.045600116807942265+0.8581868100667684i,0.05945622182030411+1.5439273621281575i
5,5,3,0.5,1,1.00E+06,0.25009+6.8635i,0.094094+3.0456i,0.06649149044661866+1.688553254487584i,0.09409674593529672+3.045582287871185i
5,5,3,0.75,0.25,5.00E+05,0.13679+2.6286i,0.046079+1.1305i,0.03800303977788134+0.6425100069942603i,0.046126709598056294+1.130438633524502i
5,5,3,0.75,0.25,1.00E+06,0.20220+5.1744i,0.072262+2.2295i,0.054187879335351845+1.2631992623820185i,0.07240409811676153+2.2293040112549782i
5,5,3,0.75,0.5,5.00E+05,0.13704+2.6282i,0.046211+1.1303i,0.038050407259541424+0.64241896352255i,0.04621069879670269+1.13028315662485i
5,5,3,0.75,0.5,1.00E+06,0.20283+5.1732i,0.072609+2.2289i,0.0542953707685775+1.2629708343345818i,0.07260831745132987+2.228919043515636i
5,5,3,0.75,0.75,5.00E+05,0.13682+2.6288i,0.046115+1.1306i,0.03797126019876371+0.64257999957234i,0.046126783953971344+1.1305221375227525i
5,5,3,0.75,0.75,1.00E+06,0.20231+5.1747i,0.072395+2.2296i,0.05410644673934684+1.2633635554272933i,0.07240017307691589+2.2294497389551906i
5,5,3,0.75,1,5.00E+05,0.13680+2.6295i,0.046107+1.1309i,0.03798628092327632+0.6427515906685841i,0.046106761683511084+1.1309285256307602i
5,5,3,0.75,1,1.00E+06,0.20238+5.1762i,0.072394+2.2303i,0.05416694032198857+1.263692295975437i,0.07239410439399593+2.2302981633059185i
5,5,3,1,0.25,5.00E+05,0.11803+2.1936i,0.037824+0.92327i,0.03310865374538793+0.5327887083335652i,0.03782371056868409+0.9233627686533423i
5,5,3,1,0.25,1.00E+06,0.17316+4.3184i,0.059378+1.8214i,0.04652582543559669+1.0474060869838395i,0.059300944843244566+1.8215062449888118i
5,5,3,1,0.5,5.00E+05,0.11824+2.1932i,0.037932+0.92309i,0.03315962911849692+0.5326578685852972i,0.037932265435173876+0.9230866152642776i
5,5,3,1,0.5,1.00E+06,0.17352+4.3173i,0.059585+1.8208i,0.046667444947037014+1.0470937266767255i,0.05958604773989513+1.8208351943001162i
5,5,3,1,0.75,5.00E+05,0.11833+2.1932i,0.037979+0.92307i,0.03317270501156532+0.5326673445302509i,0.03796309554340251+0.9231042155921211i
5,5,3,1,0.75,1.00E+06,0.17373+4.3171i,0.059682+1.8207i,0.04667983010344181+1.0470960365342386i,0.0596266702697598+1.8208360125010168i
5,5,3,1,1,5.00E+05,0.11817+2.1932i,0.037906+0.92309i,0.03311754108979291+0.5326858953030412i,0.03790608926978365+0.9230917220718057i
5,5,3,1,1,1.00E+06,0.17339+4.3174i,0.059533+1.8209i,0.04657769864821064+1.0471953361337318i,0.05953270273237995+1.820862853045175i
5,10,1,0.25,0.25,5.00E+05,0.38421+20.316i,0.17705+10.111i,0.09989859952115379+5.061411978836754i,0.1768301494420489+10.1112724511617i
5,10,1,0.25,0.25,1.00E+06,0.63721+40.350i,0.30165+20.086i,0.16288424737738758+10.050266962223244i,0.30044939272924315+20.086202209053283i
5,10,1,0.25,0.5,5.00E+05,0.38524+20.312i,0.17757+10.110i,0.10028986504258199+5.060514745703683i,0.17759513644691086+10.109490900360466i
5,10,1,0.25,0.5,1.00E+06,0.63744+40.340i,0.30175+20.082i,0.16359131068045787+10.04801839933174i,0.3018186063721193+20.081755233863408i
5,10,1,0.25,0.75,5.00E+05,0.38675+20.306i,0.17833+10.107i,0.10076104299753626+5.059274200310681i,0.17852904022203014+10.106933083804885i
5,10,1,0.25,0.75,1.00E+06,0.64241+40.326i,0.30426+20.075i,0.16534318043269564+10.044875038132702i,0.3052667146418146+20.075327536299863i
5,10,1,0.25,1,5.00E+05,0.38687+20.305i,0.17838+10.106i,0.10068884530941054+5.058752566485197i,0.17837455423843204+10.10586794151626i
5,10,1,0.25,1,1.00E+06,0.64354+40.324i,0.30482+20.074i,0.16514629145880472+10.043920141208014i,0.304846670340726+20.073378138238493i
5,10,1,0.5,0.25,5.00E+05,0.26735+10.971i,0.11938+5.4431i,0.07019306907819148+2.7226873726716034i,0.11913406044963476+5.442857101570486i
5,10,1,0.5,0.25,1.00E+06,0.41667+21.758i,0.19232+10.799i,0.10702330280472849+5.398051214636756i,0.19175039813923528+10.798429075327087i
5,10,1,0.5,0.5,5.00E+05,0.26653+10.971i,0.11897+5.4430i,0.07011573449989178+2.722768815839957i,0.1189777095810407+5.443025225769632i
5,10,1,0.5,0.5,1.00E+06,0.41493+21.759i,0.19146+10.799i,0.10688072029671578+5.398334952730235i,0.19146590757703877+10.799007494706581i
5,10,1,0.5,0.75,5.00E+05,0.26760+10.971i,0.11951+5.4433i,0.0703139876646316+2.722763076559554i,0.11937275311197482+5.443032461378112i
5,10,1,0.5,0.75,1.00E+06,0.41707+21.759i,0.19253+10.799i,0.10718142939389479+5.398089930264315i,0.19207458508268704+10.798554146227834i
5,10,1,0.5,1,5.00E+05,0.26704+10.970i,0.11922+5.4427i,0.07024186719694392+2.7226151136927768i,0.11922308392074879+5.442713594093486i
5,10,1,0.5,1,1.00E+06,0.41606+21.757i,0.19203+10.798i,0.10718109170947722+5.397882093573387i,0.19204534363527603+10.798100997022365i
5,10,1,0.75,0.25,5.00E+05,0.21082+7.7391i,0.091628+3.8293i,0.05586727733263737+1.913650420511106i,0.09164867146670226+3.8291735175570536i
5,10,1,0.75,0.25,1.00E+06,0.32252+15.340i,0.14586+7.5934i,0.08323001541827096+3.7914681361545592i,0.14604130294896522+7.593168721315638i
5,10,1,0.75,0.5,5.00E+05,0.21105+7.7384i,0.091751+3.8289i,0.055926743120054044+1.9135204709548477i,0.09175551885743738+3.828902764747035i
5,10,1,0.75,0.5,1.00E+06,0.32307+15.338i,0.14616+7.5924i,0.08330476274491806+3.79108511974941i,0.14616733748007338+7.592399345304587i
5,10,1,0.75,0.75,5.00E+05,0.21185+7.7384i,0.092156+3.8289i,0.05596571831327508+1.913602776137504i,0.09184399081683356+3.829073197256372i
5,10,1,0.75,0.75,1.00E+06,0.32499+15.337i,0.14713+7.5920i,0.08336991205047901+3.791214344541589i,0.146325277542712+7.592658721216176i
5,10,1,0.75,1,5.00E+05,0.21051+7.7407i,0.091477+3.8300i,0.055777784668140554+1.914070660509471i,0.09147480910424106+3.830044783920393i
5,10,1,0.75,1,1.00E+06,0.32123+15.343i,0.14522+7.5950i,0.08281241277350691+3.7923457469584525i,0.1452268797538411+7.5949855423387245i
5,10,1,1,0.25,5.00E+05,0.17782+6.1023i,0.075507+3.0120i,0.04742011886911904+1.5037612540784882i,0.07553871658586535+3.0120028676479476i
5,10,1,1,0.25,1.00E+06,0.27041+12.090i,0.12027+5.9708i,0.06976305802764164+2.977951688150442i,0.12030647395834926+5.970828764381129i
5,10,1,1,0.5,5.00E+05,0.17562+6.1087i,0.074403+3.0152i,0.046839302522587334+1.5053202896748572i,0.07440216545758624+3.0151786841401576i
5,10,1,1,0.5,1.00E+06,0.26593+12.106i,0.11801+5.9785i,0.06858897247760438+2.9817404721832528i,0.11801271209220139+5.978490519700354i
5,10,1,1,0.75,5.00E+05,0.17556+6.1080i,0.074367+3.0148i,0.04676639258638517+1.5052429771427136i,0.07426833562046009+3.0150290982857904i
5,10,1,1,0.75,1.00E+06,0.26530+12.104i,0.11769+5.9778i,0.06826859316921065+2.9816863147025434i,0.11741095866634636+5.978374516854357i
